name,a,age,alower,aupper,b,dec,density,densitylower,densityupper,ecc,fe,feh,felower,feupper,firstref,firsturl,k,kid,koi_star,logg,m,mass,masslower,massupper,mstar,mstarlower,mstarupper,mupper,orbref,orburl,per,r,ra,rho,rhostar,rlower,rprs,rstar,rstarlower,rstarupper,rupper,shk,source,teff,tefflower,teffupper,tt,ua,ub,udensity,ufe,ufeh,uk,ulogg,um,umass,umstar,ur,urho,urhostar,urstar,uteff,vmag,vsini,flux,uflux
Kepler-20 b,0.0453704,,0.000756174,0.000756174,,,6.5,2.7,2.0,0.0,0.02,,0.04,0.04,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,,,4.4,8.474452817113589,8.474452817113589,2.1221060088380037,2.1221060088380037,0.912,0.034,0.034,,Gautier 2012,http://adsabs.harvard.edu/abs/2012ApJ...749...15G,3.6961218999999996,1.9082953425001177,,6.5,1.51,0.2098130640159295,,0.9440000000000001,0.095,0.06,0.11989237879619324,,,5466.0,93.0,93.0,,0.000756174,,2.35,0.04,,,,2.1221060088380037,2.1221060088380037,0.034,0.16485272140606136,2.35,,0.0775,93.0,,,346.71060965950994,62.69890107487526
Kepler-20 c,0.0930411,,0.00155068,0.00155068,,,2.91,1.08,0.85,0.0,0.02,,0.04,0.04,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,,,4.4,15.733765602088985,15.733765602088985,3.3142234056442703,3.3142234056442703,0.912,0.034,0.034,,Gautier 2012,http://adsabs.harvard.edu/abs/2012ApJ...749...15G,10.854092,3.0672591141562533,,2.91,1.51,0.3097231928630784,,0.9440000000000001,0.095,0.06,0.1998213785923708,,,5466.0,93.0,93.0,,0.00155068,,0.965,0.04,,,,3.3142234056442703,3.3142234056442703,0.034,0.2547722857277245,0.965,,0.0775,93.0,,,82.44468734941518,14.909236784576787
Kepler-20 d,0.34532399999999996,,0.0057554,0.0057554,,,2.035,0.0,4.07,0.0,0.02,,0.04,0.04,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,,,4.4,7.52796316661645,7.52796316661645,7.218473350406747,7.218473350406747,0.912,0.034,0.034,,Gautier 2012,http://adsabs.harvard.edu/abs/2012ApJ...749...15G,77.61184,2.7475453567676893,,2.035,1.51,0.2997315074395196,,0.9440000000000001,0.095,0.06,0.16984856411784074,,,5466.0,93.0,93.0,,0.0057554,,2.035,0.04,,,,7.218473350406747,7.218473350406747,0.034,0.23479003577868016,2.035,,0.0775,93.0,,,5.984926514288709,1.0823098392864097
Kepler-30 b,0.185524,,0.00499738,0.00499738,,,1.02,0.13,0.13,0.042,0.18,,0.27,0.27,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,,,4.77,11.30060525258612,11.30060525258612,1.4000743401626996,1.4000743401626996,0.99,0.08,0.08,,Sanchis-Ojeda 2012,http://adsabs.harvard.edu/abs/2012Natur.487..449S,29.334,3.896521926592559,,1.02,2.0,0.1998213785923708,,0.95,0.12,0.12,0.1998213785923708,,,5498.0,54.0,54.0,,0.00499738,,0.13,0.27,,,,1.4000743401626996,1.4000743401626996,0.08,0.1998213785923708,0.13,,0.12,54.0,,1.94,21.49590845318025,5.616502819221962
Kepler-36 b,0.115423,,0.00192372,0.00192372,,,7.46,0.5900000000000001,0.74,0.0,,,,,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,,,,4.461477809581199,4.461477809581199,0.2706952137189917,0.3308502706638546,1.071,0.043,0.043,,Carter 2012,http://adsabs.harvard.edu/abs/2012Sci...337..556C,13.839889999999999,1.4846743337357518,,7.46,0.3508,0.03496876927611671,,1.626,0.019,0.019,0.03496876927611671,,,5911.0,66.0,66.0,,0.00192372,,0.665,,,,,0.30077274219142314,0.30077274219142314,0.043,0.03496876927611671,0.665,,0.019,66.0,,,217.36521938529697,13.1358050475231
Kepler-36 c,0.128401,,0.00214002,0.00214002,,,0.89,0.04999999999999999,0.07,0.0,,,,,Carter 2012,http://adsabs.harvard.edu/abs/2012Sci...337..556C,,,,,8.100827608717486,8.100827608717486,0.4611836848448328,0.6015442131164004,1.071,0.043,0.043,,Carter 2012,http://adsabs.harvard.edu/abs/2012Sci...337..556C,16.23855,3.675716215173797,,0.89,0.3508,0.053951738592997914,,1.626,0.019,0.019,0.053951738592997914,,,5911.0,66.0,66.0,,0.00214002,,0.06,,,,,0.5313639489806166,0.5313639489806166,0.043,0.053951738592997914,0.06,,0.019,66.0,,,175.6458761239005,10.614623028232543
Kepler-68 b,0.061775,,0.00102958,0.00102958,,,3.32,0.98,0.86,0.0,0.12,,0.07400000000000001,0.07400000000000001,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,,,4.281000000000001,8.321392337049312,8.321392337049312,2.4061832087978305,2.205666352314954,1.079,0.051,0.051,,Gilliland 2013,http://adsabs.harvard.edu/abs/2013ApJ...766...40G,5.398763,2.307940341481005,,3.32,0.7903,0.0899196764114705,,1.2429999999999999,0.019,0.019,0.05994641357771122,,,5793.0,74.0,74.0,,0.00102958,,0.92,0.07400000000000001,,,,2.305924780556392,2.305924780556392,0.051,0.07493304499459087,0.92,,0.019,74.0,,0.5,409.0917422437698,27.915884259805498
Kepler-68 c,0.09070189999999999,,0.0015117000000000002,0.0015117000000000002,,,28.0,23.0,13.0,0.0,0.12,,0.07400000000000001,0.07400000000000001,Batalha 2013,http://adsabs.harvard.edu/abs/2013ApJS..204...24B,,,,4.281000000000001,4.812379130260117,4.812379130260117,3.60995176257909,2.5057615094908106,1.079,0.051,0.051,,Gilliland 2013,http://adsabs.harvard.edu/abs/2013ApJ...766...40G,9.605085,0.9521491099857324,,28.0,0.7903,0.04196238862357129,,1.2429999999999999,0.019,0.019,0.036966994271021146,,,5793.0,74.0,74.0,,0.0015117000000000002,,18.0,0.07400000000000001,,,,3.05785663603495,3.05785663603495,0.051,0.03946469144729622,18.0,,0.019,74.0,,0.5,189.76383647910262,12.949248872161402
41.01 ,0.10996315084,6.46,,,0.05,41:59:24 ,,,,,0.02,0.02,,,Borucki 2011,,0.18,6521045.0,41,4.125,0.85,,,,1.08,,,7.05,Marcy 2013,,12.8159,2.2,19:25:32.6 ,0.35,0.44,,0.01355,1.49,,,,,AS   ,5825.0,,,55.94713,,0.04,,0.1,0.1,0.8,0.03,4.0,,0.06,0.05,1.65,0.01,0.04,75.0,11.2,3.7,189.64952298578467,
41.02 ,0.07268362729298844,6.46,,,0.54,41:59:24 ,,,,,0.02,0.02,,,Borucki 2011,,1.9,6521045.0,41,4.125,7.34,,,,1.08,,,10.0,Marcy 2013,,6.88705,1.32,19:25:32.6 ,14.25,0.44,,0.008094,1.49,,,,,AS   ,5825.0,,,66.17797,,0.02,,0.1,0.1,0.8,0.03,3.2,,0.06,0.04,6.33,0.01,0.04,75.0,11.2,3.7,434.08314214147623,
