name,a,age,alower,aupper,b,dec,density,densitylower,densityupper,ecc,fe,feh,felower,feupper,firstref,firsturl,k,kid,koi_star,logg,m,mass,masslower,massupper,mstar,mstarlower,mstarupper,mupper,orbref,orburl,per,r,ra,rho,rhostar,rlower,rprs,rstar,rstarlower,rstarupper,rupper,shk,source,teff,tefflower,teffupper,tt,ua,ub,udensity,ufe,ufeh,uk,ulogg,um,umass,umstar,ur,urho,urhostar,urstar,uteff,vmag,vsini,flux,uflux
153.02 ,0.05027279790490507,6.89,,,0.08,50:56:39 ,,,,,0.05,0.05,,,Borucki 2011,,2.36,12252424.0,153,4.636,7.1,,,,0.75,,,17.0,Marcy 2013,,4.754,1.82,19:11:59.4 ,6.6,2.71,,0.02419,0.69,,,,,SME   ,4725.0,,,61.5463,,0.06,,0.04,0.04,1.5,0.03,3.3,,0.02,0.05,3.0,0.08,0.02,44.0,13.46,0.4,84.24209722787195,
244.02 ,0.07028170526156256,11.0,,,0.54,39:29:16 ,,,,,-0.04,-0.04,,,Borucki 2011,,2.8,4349452.0,244,4.2780000000000005,9.6,,,,1.19,,,16.0,Marcy 2013,,6.2385,2.71,19:06:33.2 ,2.5,0.75,,0.01895,1.31,,,,,AS   ,6270.0,,,104.70541,,0.01,,0.1,0.1,1.2,0.03,4.2,,0.06,0.05,1.1,0.01,0.02,79.0,10.73,9.5,481.74589637542556,
245.01 ,0.21175571804311144,5.66,,,0.53,44:31:05 ,,,,,-0.32,-0.32,,,Borucki 2011,,0.4,8478994.0,245,4.567,1.87,,,,0.8,,,12.2,Marcy 2013,,39.7922,1.94,18:56:14.2 ,1.3,2.46,,0.023068,0.77,,,,,AS   ,5417.0,,,108.2495,,0.01,,0.07,0.07,1.2,0.05,9.08,,0.07,0.06,3.67,0.04,0.03,75.0,9.7,0.5,10.214952460793748,
245.02 ,0.13961007685117796,5.66,,,0.43,44:31:05 ,,,,,-0.32,-0.32,,,Borucki 2011,,0.92,8478994.0,245,4.567,3.35,,,,0.8,,,12.0,Marcy 2013,,21.302,0.75,18:56:14.2 ,44.33,2.46,,0.008909,0.77,,,,,AS   ,5417.0,,,124.83685,,0.02,,0.07,0.07,1.1,0.05,4.0,,0.07,0.03,53.6,0.04,0.03,75.0,9.7,0.5,23.500283978783294,
245.03 ,0.10233007861526047,5.66,,,0.48,44:31:05 ,,,,,-0.32,-0.32,,,Borucki 2011,,0.95,8478994.0,245,4.567,2.78,,,,0.8,,,10.0,Marcy 2013,,13.3675,0.32,18:56:14.2 ,548.8,2.46,,0.0038280000000000002,0.77,,,,,AS   ,5417.0,,,117.04171000000001,,0.13,,0.07,0.07,1.1,0.05,3.7,,0.07,0.02,700.0,0.04,0.03,75.0,9.7,0.5,43.74214008750416,
246.01 ,0.06179356435983603,9.36,,,0.48,49:02:24 ,,,,,0.12,0.12,,,Borucki 2011,,2.07,11295426.0,246,4.282,5.97,,,,1.08,,,9.3,Marcy 2013,,5.39875,2.33,19:24:07.7 ,2.6,0.79,,0.017383000000000003,1.24,,,,,AS   ,5793.0,,,106.85783,,0.01,,0.04,0.04,0.59,0.02,1.7,,0.05,0.02,0.74,0.01,0.02,100.0,10.0,0.5,406.8748452164217,
246.02 ,0.09072922906125087,9.36,,,0.77,49:02:24 ,,,,,0.12,0.12,,,Borucki 2011,,0.57,11295426.0,246,4.282,2.18,,,,1.08,,,7.2,Marcy 2013,,9.605039999999999,1.0,19:24:07.7 ,10.77,0.79,,0.007455,1.24,,,,,AS   ,5793.0,,,69.38025,,0.01,,0.04,0.04,0.9,0.02,3.5,,0.05,0.02,17.29,0.01,0.02,100.0,10.0,0.5,188.73519450047283,
261.01 ,0.12549809207316673,2.34,,,0.54,40:31:30 ,,,,,0.04,0.04,,,Borucki 2011,,2.1,5383248.0,261,4.421,8.46,,,,1.0,,,12.0,Marcy 2013,,16.2385,2.67,19:48:16.7 ,2.26,1.54,,0.023967,1.02,,,,,SME   ,5690.0,,,104.01897,,0.07,,0.04,0.04,0.8,0.08,3.4,,0.02,0.22,1.11,0.25,0.09,43.0,10.3,0.5,62.12480125079867,
283.01 ,0.12556827364007309,3.66,,,0.79,40:56:32 ,,,,,0.12,0.12,,,Borucki 2011,,3.95,5695396.0,283,4.417,16.13,,,,1.02,,,19.4,Marcy 2013,,16.092,2.41,19:14:07.4 ,6.0,1.44,,0.021263,1.03,,,,,SME   ,5685.0,,,103.59795,,0.02,,0.04,0.04,0.8,0.08,3.5,,0.02,0.2,1.98,0.21,0.1,44.0,11.52,0.4,63.05598708557554,
283.02 ,0.1707491361845384,3.66,,,0.27,40:56:32 ,,,,,0.12,0.12,,,Borucki 2011,,3.58,5695396.0,283,4.417,8.25,,,,1.02,,,20.0,Marcy 2013,,25.5169,0.84,19:14:07.4 ,77.7,1.44,,0.0073939999999999995,1.03,,,,,SME   ,5685.0,,,87.42342,,0.16,,0.04,0.04,0.9,0.08,5.9,,0.02,0.07,55.0,0.21,0.1,44.0,11.52,0.4,34.10115941331846,
292.01 ,0.036124883979450115,8.42,,,0.41,48:40:24 ,,,,,-0.2,-0.2,,,Borucki 2011,,1.65,11075737.0,292,4.43,3.51,,,,0.94,,,9.1,Marcy 2013,,2.58664,1.48,19:09:18.3 ,5.44,1.53,,0.013803,0.98,,,,,SME   ,5779.0,,,104.84121,,0.16,,0.04,0.04,0.9,0.08,1.9,,0.03,0.13,3.48,0.31,0.09,44.0,12.87,0.5,736.4442188815252,
299.01 ,0.02603041392043728,2.79,,,0.56,37:57:52 ,,,,,0.18,0.18,,,Borucki 2011,,1.82,2692377.0,299,4.341,3.55,,,,0.99,,,6.4,Marcy 2013,,1.54168,1.99,19:02:38.8 ,2.18,1.12,,0.016377000000000003,1.11,,,,,SME   ,5539.0,,,103.54328000000001,,0.14,,0.04,0.04,0.8,0.1,1.6,,0.02,0.22,1.21,0.34,0.12,43.0,12.9,0.5,1535.674313192468,
305.01 ,0.05006635915032185,1.47,,,0.21,41:18:00 ,,,,,0.18,0.18,,,Borucki 2011,,2.91,6063220.0,305,4.605,6.15,,,,0.79,,,9.7,Marcy 2013,,4.60358,1.48,19:49:24.9 ,10.9,2.86,,0.018475,0.73,,,,,SME   ,4782.0,,,104.83893,,0.13,,0.04,0.04,0.6,0.05,1.3,,0.03,0.08,2.82,0.23,0.04,115.0,12.97,0.5,99.74286448654951,
321.01 ,0.036143448066135966,5.84,,,0.1,44:58:05 ,,,,,0.18,0.18,,,Borucki 2011,,2.89,8753657.0,321,4.409,6.35,,,,1.07,,,8.1,Marcy 2013,,2.4262900000000003,1.43,19:27:23.5 ,11.82,1.12,,0.012284999999999999,1.07,,,,,AS   ,5538.0,,,103.4568,,0.06,,0.04,0.04,0.6,0.02,1.4,,0.04,0.03,2.7,0.02,0.02,44.0,12.52,0.4,739.6223864250197,
321.02 ,0.055552517571314707,5.84,,,0.36,44:58:05 ,,,,,0.18,0.18,,,Borucki 2011,,1.0,8753657.0,321,4.409,2.71,,,,1.07,,,6.0,Marcy 2013,,4.62332,0.85,19:27:23.5 ,24.39,1.12,,0.007261,1.07,,,,,AS   ,5538.0,,,65.37438,,0.06,,0.04,0.04,0.6,0.02,1.8,,0.04,0.03,16.13,0.02,0.02,44.0,12.52,0.4,313.08461015113,
1442.01 ,0.014974697546351353,7.47,,,0.25,49:36:52 ,,,,,0.04,0.04,,,Borucki 2011,,0.05,11600889.0,1442,4.426,0.06,,,,1.0,,,3.2,Marcy 2013,,0.6693100000000001,1.07,19:04:08.7 ,0.29,1.38,,0.010414,1.01,,,,,SME   ,5476.0,,,67.13162,,0.15,,0.0,0.0,0.9,0.06,1.2,,0.02,0.02,5.7,0.16,0.07,46.0,12.52,2.0,3670.03525797981,
1612.01 ,0.03664050074406888,6.68,,,0.92,48:25:23 ,,,,,-0.2,-0.2,,,Borucki 2011,,0.2,10963065.0,1612,4.294,0.48,,,,1.08,,,5.0,Marcy 2013,,2.46502,0.82,18:59:08.6 ,4.42,0.82,,0.006136,1.23,,,,,AS   ,6104.0,,,65.67928,,0.01,,0.1,0.1,1.3,0.03,3.2,,0.07,0.03,29.82,0.01,0.03,74.0,8.77,3.1,1403.574185450342,
1925.01 ,0.3200815024119994,6.8,,,0.9,46:51:09 ,,,,,0.08,0.08,,,Borucki 2011,,0.45,9955598.0,1925,4.499,2.69,,,,0.92,,,22.0,Marcy 2013,,68.9584,1.19,19:34:43.0 ,8.88,1.81,,0.012223000000000001,0.89,,,,,AS   ,5460.0,,,112.08151000000001,,0.01,,0.1,0.1,1.0,0.03,6.2,,0.06,0.03,20.6,0.0,0.02,75.0,9.44,2.0,6.164804097187266,
Kepler-78 b,0.010320922459893045,,,,,,,,,,,,,,Sanchis-Ojeda 2013,,,,,,1.69,,,,0.81,,,,Sanchis-Ojeda (2013),,0.3541666666666667,1.2,,5.3,,,,0.74,,,,,,5089.0,,,,0.0025802306149732613,,,,,,,0.41,,0.05,0.09,1.8,,0.09,50.0,,,3093.4710952796154,1724.3480748665788
