         Kepler-17 b     1.486    788.00$\pm$32.43          14.91$\pm$0.45        1539.077                     \citet{Borucki2011}                      \citet{Desert2011}
         Kepler-18 b     3.505      6.90$\pm$3.48            2.00$\pm$0.10         462.244                     \citet{Borucki2011}                     \citet{Cochran2011}
         Kepler-18 c     7.642     17.30$\pm$1.91            5.49$\pm$0.26         163.493                     \citet{Borucki2011}                     \citet{Cochran2011}
         Kepler-18 d    14.859     16.40$\pm$1.40            6.98$\pm$0.33          67.364                     \citet{Borucki2011}                     \citet{Cochran2011}
         Kepler-20 b     3.696      8.47$\pm$2.12            1.91$\pm$0.16         346.711                     \citet{Borucki2011}                     \citet{Gautier2012}
         Kepler-20 c    10.854     15.73$\pm$3.31            3.07$\pm$0.25          82.445                     \citet{Borucki2011}                     \citet{Gautier2012}
         Kepler-20 d    77.612      7.53$\pm$7.22            2.75$\pm$0.23           5.985                     \citet{Borucki2011}                     \citet{Gautier2012}
         Kepler-36 b    13.840      4.46$\pm$0.30            1.48$\pm$0.03         217.365                     \citet{Borucki2011}                      \citet{Carter2012}
         Kepler-36 c    16.239      8.10$\pm$0.53            3.68$\pm$0.05         175.646                      \citet{Carter2012}                      \citet{Carter2012}
         Kepler-39 b    21.087   5778.06$\pm$228.13         13.67$\pm$1.23         111.614                     \citet{Borucki2011}                      \citet{Bouchy2011}
          Kepler-4 b     3.213     24.54$\pm$4.07            4.00$\pm$0.21        1123.918                     \citet{Borucki2010}                     \citet{Borucki2010}
         Kepler-40 b     6.873    691.84$\pm$106.87         13.11$\pm$0.45        1123.594                    \citet{Santerne2011}                    \citet{Santerne2011}
         Kepler-41 b     1.856    156.86$\pm$22.62           9.43$\pm$0.36        1024.948                     \citet{Borucki2011}                    \citet{Santerne2011}
         Kepler-43 b     3.024   1027.00$\pm$58.42          13.45$\pm$0.67        1193.550                     \citet{Borucki2011}                      \citet{Bonomo2012}
         Kepler-44 b     3.247    324.52$\pm$22.27          13.90$\pm$0.78        1100.571                     \citet{Borucki2011}                      \citet{Bonomo2012}
         Kepler-45 b     2.455    162.56$\pm$18.43          10.76$\pm$1.23          65.118                     \citet{Borucki2011}                     \citet{Johnson2012}
          Kepler-5 b     3.548    672.70$\pm$23.85          16.04$\pm$0.52        1768.359                        \citet{Koch2010}                        \citet{Koch2010}
          Kepler-6 b     3.235    212.74$\pm$9.84           14.83$\pm$0.31         848.626                      \citet{Dunham2010}                      \citet{Dunham2010}
         Kepler-68 b     5.399      8.30$\pm$2.30            2.31$\pm$0.03         409.092                     \citet{Borucki2011}                   \citet{Gilliland2013}
         Kepler-68 c     9.605      4.38$\pm$2.80            0.95$\pm$0.04         189.764                     \citet{Batalha2013}                   \citet{Gilliland2013}
          Kepler-7 b     4.886    139.13$\pm$12.24          16.57$\pm$0.57         974.860                      \citet{Latham2010}                      \citet{Latham2010}
         Kepler-77 b     3.579    136.97$\pm$10.94          10.76$\pm$0.18         402.824                    \citet{Gandolfi2013}                    \citet{Gandolfi2013}
          Kepler-8 b     3.523    186.16$\pm$33.15          15.91$\pm$0.64        1263.976                     \citet{Jenkins2010}                     \citet{Jenkins2010}
       OGLE-TR-182 b     3.979    325.60$\pm$47.25          12.67$\pm$2.13         544.565                        \citet{Pont2008}                        \citet{Pont2008}
       OGLE-TR-211 b     3.677    240.68$\pm$47.40          15.24$\pm$1.51        1468.427                     \citet{Udalski2008}                     \citet{Udalski2008}
       OGLE2-TR-L9 b     2.486   1453.83$\pm$479.59         18.05$\pm$0.45        2840.997                     \citet{Snellen2009}                     \citet{Snellen2009}
           Qatar-1 b     1.420    346.35$\pm$27.02          13.05$\pm$0.50         618.042                     \citet{Alsubai2011}                     \citet{Alsubai2011}
           Qatar-2 b     1.337    789.49$\pm$27.59          12.82$\pm$0.39         459.012                       \citet{Bryan2012}                       \citet{Bryan2012}
            TrES-1 b     3.030    239.15$\pm$15.14          11.96$\pm$0.24         283.745                      \citet{Alonso2004}                      \citet{Alonso2004}
            TrES-2 b     2.471    381.61$\pm$16.60          13.72$\pm$0.46         835.197                   \citet{O'Donovan2006}                   \citet{O'Donovan2006}
            TrES-4 b     3.554    292.47$\pm$23.53          19.99$\pm$1.00        1685.925                   \citet{Mandushev2007}                   \citet{Mandushev2007}
            TrES-5 b     1.482    565.11$\pm$25.46          13.55$\pm$0.24         800.452                   \citet{Mandushev2011}                   \citet{Mandushev2011}
            WASP-1 b     2.520    263.08$\pm$16.15          16.99$\pm$1.68        1939.307             \citet{Collier-Cameron2007}                     \citet{Simpson2011}
           WASP-10 b     3.093   1014.30$\pm$36.83          12.11$\pm$0.22         141.388                   \citet{Christian2009}                     \citet{Johnson2009}
           WASP-11 b     3.722    171.54$\pm$16.49          10.20$\pm$0.50         136.904              \citet{West2009,Bakos2009}                        \citet{West2009}
           WASP-12 b     1.091    432.43$\pm$16.18          20.06$\pm$1.01        7404.830                        \citet{Hebb2009}                 \citet{Maciejewski2011}
           WASP-13 b     4.353    152.36$\pm$19.60          15.57$\pm$0.57         819.351                     \citet{Skillen2009}                     \citet{Skillen2009}
           WASP-14 b     2.244   2444.75$\pm$93.15          14.36$\pm$0.88        2010.141                       \citet{Joshi2009}                       \citet{Joshi2009}
           WASP-15 b     3.752    172.51$\pm$6.63           15.46$\pm$0.70        1236.099                        \citet{West2009}                      \citet{Triaud2010}
           WASP-16 b     3.119    267.69$\pm$10.16          11.30$\pm$0.80         485.416                      \citet{Lister2009}                      \citet{Lister2009}
           WASP-17 b     3.735    161.62$\pm$9.56           21.66$\pm$0.85         953.675                    \citet{Anderson2010}                      \citet{Triaud2010}
           WASP-18 b     0.941   3241.91$\pm$106.67         14.20$\pm$0.60        5487.433                     \citet{Hellier2009}                      \citet{Triaud2010}
           WASP-19 b     0.789    360.21$\pm$12.50          15.54$\pm$0.36        3022.949                        \citet{Hebb2010}                     \citet{Hellier2011}
            WASP-2 b     2.152    288.79$\pm$11.13          12.07$\pm$0.63         473.288             \citet{Collier-Cameron2007}                      \citet{Triaud2010}
           WASP-21 b     4.322     95.43$\pm$4.25           11.99$\pm$0.67         420.139                      \citet{Bouchy2010}                      \citet{Bouchy2010}
           WASP-22 b     3.533    177.68$\pm$32.59          12.55$\pm$0.45         676.099                      \citet{Maxted2010}                      \citet{Maxted2010}
           WASP-23 b     2.944    277.21$\pm$29.80          10.78$\pm$0.58         269.477                      \citet{Triaud2011}                      \citet{Triaud2011}
           WASP-24 b     2.341    346.74$\pm$12.87          14.57$\pm$0.43        1623.591                      \citet{Street2010}                     \citet{Simpson2011}
           WASP-25 b     3.765    183.85$\pm$14.28          13.67$\pm$0.62         369.917                       \citet{Enoch2011}                       \citet{Enoch2011}
           WASP-26 b     2.757    323.37$\pm$10.69          14.80$\pm$0.90         660.572                     \citet{Smalley2010}                     \citet{Smalley2010}
           WASP-29 b     3.923     77.23$\pm$6.40            8.88$\pm$0.51         149.220                     \citet{Hellier2010}                     \citet{Hellier2010}
            WASP-3 b     1.847    639.40$\pm$29.75          14.46$\pm$0.95        2604.202                    \citet{Pollacco2008}                    \citet{Tripathi2010}
           WASP-31 b     3.406    152.34$\pm$10.43          17.23$\pm$0.67        1020.527                    \citet{Anderson2011}                    \citet{Anderson2011}
           WASP-32 b     2.719   1097.62$\pm$44.30          12.33$\pm$0.45         994.457                      \citet{Maxted2010}                       \citet{Brown2012}
           WASP-34 b     4.318    185.40$\pm$9.07           13.67$\pm$1.06         302.284                     \citet{Smalley2011}                     \citet{Smalley2011}
           WASP-35 b     3.162    227.91$\pm$18.67          14.80$\pm$0.34         737.778                       \citet{Enoch2011}                       \citet{Enoch2011}
           WASP-36 b     1.537    721.22$\pm$28.32          14.22$\pm$0.34        1383.965                       \citet{Smith2012}                       \citet{Smith2012}
           WASP-37 b     3.577    570.04$\pm$52.86          13.00$\pm$0.73         512.775                     \citet{Simpson2011}                     \citet{Simpson2011}
           WASP-38 b     6.872    860.97$\pm$31.79          12.22$\pm$0.22         414.785                      \citet{Barros2011}                       \citet{Brown2012}
           WASP-39 b     4.055     90.37$\pm$9.97           14.24$\pm$0.45         258.901                       \citet{Faedi2011}                       \citet{Faedi2011}
            WASP-4 b     1.338    388.73$\pm$15.02          15.03$\pm$0.29        1291.949                      \citet{Wilson2008}                      \citet{Triaud2010}
           WASP-41 b     3.052    296.36$\pm$18.70          13.45$\pm$0.67         390.966                      \citet{Maxted2011}                      \citet{Maxted2011}
           WASP-42 b     4.982    157.94$\pm$10.81          11.92$\pm$0.57         158.205                       \citet{Lendl2012}                       \citet{Lendl2012}
           WASP-43 b     0.813    564.47$\pm$32.88          10.42$\pm$0.90         593.347                     \citet{Hellier2011}                     \citet{Hellier2011}
           WASP-44 b     2.424    282.80$\pm$20.57          12.78$\pm$1.23         547.333                    \citet{Anderson2012}                    \citet{Anderson2012}
           WASP-45 b     3.126    319.90$\pm$16.55          13.00$\pm$2.35         340.183                    \citet{Anderson2012}                    \citet{Anderson2012}
           WASP-46 b     1.430    668.15$\pm$27.95          14.68$\pm$0.57        1254.648                    \citet{Anderson2012}                    \citet{Anderson2012}
           WASP-47 b     4.159    361.19$\pm$17.92          12.89$\pm$0.34         372.964                     \citet{Hellier2012}                     \citet{Hellier2012}
           WASP-48 b     2.144    312.81$\pm$27.49          18.72$\pm$0.90        2837.375                       \citet{Enoch2011}                       \citet{Enoch2011}
           WASP-49 b     2.782    120.21$\pm$8.35           12.50$\pm$0.53         585.231                       \citet{Lendl2012}                       \citet{Lendl2012}
            WASP-5 b     1.628    516.21$\pm$17.51          12.78$\pm$0.78        1526.870                    \citet{Anderson2008}                      \citet{Triaud2010}
