NAME,MASS,MASSUPPER,MASSLOWER,UMASS,R,RUPPER,RLOWER,UR,DENSITY,DENSITYUPPER,DENSITYLOWER,UDENSITY,A,AUPPER,ALOWER,UA,PER,ECC,MSTAR,MSTARUPPER,MSTARLOWER,UMSTAR,RSTAR,RSTARUPPER,RSTARLOWER,URSTAR,RHOSTAR,TEFF,TEFFUPPER,TEFFLOWER,UTEFF,LOGG,FE,FEUPPER,FELOWER,UFE,VSINI,SHK,ORBREF,ORBURL,FIRSTREF,FIRSTURL
,mearth,mearth,mearth,mearth,rearth,rearth,rearth,rearth,g/cm^3,g/cm^3,g/cm^3,g/cm^3,au,au,au,au,day,,msun,msun,msun,msun,rsun,rsun,rsun,rsun,g/cm^3,k,k,k,k,,,,,,km/s,,,,,
CoRoT-19 b,352.1153801345787,20.468311444210105,20.468311444210105,20.468311444210105,14.459585142910898,0.3362694219281604,0.3362694219281604,0.3362694219281604,0.71,0.06,0.06,0.06,0.0516604,0.000861007,0.000861007,0.000861007,3.89713,0.047,1.21,0.05,0.05,0.05,1.65,0.04,0.04,0.04,0.38,6090,70,70,70,4.07,-0.02,0.1,0.1,0.1,6,,Guenther 2012,http://adsabs.harvard.edu/abs/2012A%26A...537A.136G,Guenther 2012,http://adsabs.harvard.edu/abs/2012A%26A...537A.136G
CoRoT-2 b,1040.9352129155368,54.284984131766606,54.284984131766606,54.284984131766606,16.432365751556105,0.4707771906994246,0.49319515216130183,0.48198617143036326,1.46523,0.07956,0.074256,0.076908,0.0280884,0.000579142,0.000579142,0.000579142,1.7429935,0.0143,0.97,0.06,0.06,0.06,0.902,0.018,0.018,0.018,1.86842,5625,120,120,120,,,0,0,0,11.85,,Gillon 2010,http://adsabs.harvard.edu/abs/2010A%26A...511A...3G,Alonso 2008,http://adsabs.harvard.edu/abs/2008A%26A...482L..21A
CoRoT-23 b,980.559591242342,99.39460269157377,99.39460269157377,99.39460269157377,11.769429767485613,1.4571674950220284,1.4571674950220284,1.4571674950220284,3,1.1,1.1,1.1,0.0483417,0.0011308,0.0011308,0.0011308,3.6313,0.16,1.14,0.08,0.08,0.08,1.61,0.18,0.18,0.18,0.5,5900,100,100,100,4.3,0.05,0.1,0.1,0.1,9,1.5,Rouan 2012,http://adsabs.harvard.edu/abs/2012A%26A...537A..54R,Rouan 2012,http://adsabs.harvard.edu/abs/2012A%26A...537A..54R
CoRoT-3 b,6945.850261122828,315.1707881389977,315.1707881389977,315.1707881389977,11.321070538248067,0.7846286511657077,0.7846286511657077,0.7846286511657077,26.4,5.6,5.6,5.6,0.0573788,0.00125647,0.00125647,0.00125647,4.2568,0,1.37,0.09,0.09,0.09,1.56,0.09,0.09,0.09,,6740,140,140,140,4.23,-0.02,0.06,0.06,0.06,17,,Deleuil 2008,http://adsabs.harvard.edu/abs/2008A%26A...491..889D,Deleuil 2008,http://adsabs.harvard.edu/abs/2008A%26A...491..889D
CoRoT-4 b,228.00767555488602,23.0066491563724,23.0066491563724,23.0066491563724,13.338687069817029,0.6164939402016274,0.6164939402016274,0.6164939402016274,0.525,0.15,0.15,0.15,0.0903166,0.00150528,0.00150528,0.00150528,9.20205,0,1.16,0.03,0.020000000000000004,0.025,1.17,0.01,0.03,0.02,,6190,60,60,60,4.41,,0,0,0,6.4,,Moutou 2008,http://adsabs.harvard.edu/abs/2008A%26A...488L..47M,Moutou 2008 ; Aigrain 2008,http://adsabs.harvard.edu/abs/2008A%26A...488L..47M ; http://adsabs.harvard.edu/abs/2008A%26A...488L..43A
CoRoT-5 b,147.00194200060258,12.557855985738675,12.557855985738675,12.557855985738675,15.558065254542889,0.5156131136231793,0.526822094354118,0.5212176039886486,0.217,0.031,0.025,0.028,0.0496334,0.000827224,0.000827224,0.000827224,4.0378962,0.09,1,0.02,0.02,0.02,1.186,0.04,0.04,0.04,,6100,65,65,65,4.19,-0.2,0.06,0.06,0.06,1,,Rauer 2009,http://adsabs.harvard.edu/abs/2009A%26A...506..281R,Rauer 2009,http://adsabs.harvard.edu/abs/2009A%26A...506..281R
CoRoT-6 b,938.7158561815808,105.31775087877874,105.31775087877874,105.31775087877874,13.0696715322745,0.39231432558285384,0.39231432558285384,0.39231432558285384,2.32,0.31,0.31,0.31,0.0854177,0.00142363,0.00142363,0.00142363,8.886593,0,1.05,0.05,0.05,0.05,1.025,0.026,0.026,0.026,,6090,50,50,50,4.44,-0.2,0.1,0.1,0.1,7.5,,Fridlund 2010,http://adsabs.harvard.edu/abs/2010A%26A...512A..14F,Fridlund 2010,http://adsabs.harvard.edu/abs/2010A%26A...512A..14F
CoRoT-7 b,5.021470678919353,0.8638859350205884,0.8638859350205884,0.8638859350205884,1.6791053134946141,0.09000811526943761,0.09000811526943761,0.09000811526943761,6.23249,1.52981,1.52981,1.52981,0.0171897,0.000286495,0.000286495,0.000286495,0.853585,0,0.93,0.03,0.03,0.03,0.87,0.04,0.04,0.04,,5275,75,75,75,4.5,0.05,0.04,0.04,0.04,3.5,,Queloz 2009,http://adsabs.harvard.edu/abs/2009A%26A...506..303Q,Queloz 2009 ; Leger 2009,http://adsabs.harvard.edu/abs/2009A%26A...506..303Q ; http://adsabs.harvard.edu/abs/2009A%26A...506..287L
CoRoT-8 b,68.67317776438685,10.806050823541227,10.806050823541227,10.806050823541227,6.389119016635047,0.22417961461877361,0.22417961461877361,0.22417961461877361,1.6,0.1,0.1,0.1,0.0633825,0.00105637,0.00105637,0.00105637,6.21229,0,0.88,0.04,0.04,0.04,0.77,0.02,0.02,0.02,1.92857,5080,80,80,80,4.58,0.315,0.05,0.05,0.05,2,,Borde 2010,http://adsabs.harvard.edu/abs/2010A%26A...520A..66B,Borde 2010,http://adsabs.harvard.edu/abs/2010A%26A...520A..66B
CoRoT-9 b,268.09865200361554,23.005981741488398,23.005981741488398,23.005981741488398,11.769429767485613,0.44835922923754723,0.44835922923754723,0.44835922923754723,0.9,0.13,0.13,0.13,0.406991,0.00678319,0.00678319,0.00678319,95.2738,0.11,0.99,0.04,0.04,0.04,0.94,0.04,0.04,0.04,1.2,5625,80,80,80,4.54,-0.01,0.06,0.06,0.06,0,,Deeg 2010,http://adsabs.harvard.edu/abs/2010Natur.464..384D,Deeg 2010,http://adsabs.harvard.edu/abs/2010Natur.464..384D
Fomalhaut b,158.90830571457266,953.4498342874359,0,476.72491714371796,13.450776877126417,,,,,,,,113.443,,,,318498,0.12,1.92,0.02,0.02,0.02,1.842,0.019,0.019,0.019,,8590,73,73,73,,,,,,,,,,Kalas 2008,http://adsabs.harvard.edu/abs/2008Sci...322.1345K
GJ 1214 b,6.467790514211107,0.9958910645776842,0.9958910645776842,0.9958910645776842,2.6778254966212507,0.1299120866715793,0.1299120866715793,0.1299120866715793,1.87,0.4,0.4,0.4,0.0143253,0.000577878,0.000577878,0.000577878,1.58040482,0,0.157,0.019,0.019,0.019,0.211,0.0097,0.0097,0.0097,16.736,3026,130,130,130,4.991,,,,,2,,Carter 2011,http://adsabs.harvard.edu/abs/2011ApJ...730...82C,Charbonneau 2009,http://adsabs.harvard.edu/abs/2009Natur.462..891C
GJ 3470 b,13.980021758561815,1.6390470066285023,1.6390470066285023,1.6390470066285023,4.196250071337859,0.5994641357771123,0.5994641357771123,0.5994641357771123,1.07,0.43,0.43,0.43,0.0356123,0.00147013,0.00147013,0.00147013,3.33714,0,0.541,0.067,0.067,0.067,0.503,0.063,0.063,0.063,,3600,200,200,200,,,,,,,,Bonfils 2012,http://adsabs.harvard.edu/abs/2012A%26A...546A..27B,Bonfils 2012,http://adsabs.harvard.edu/abs/2012A%26A...546A..27B
GJ 436 b,23.10460023601486,1.0116007396806266,1.0116007396806266,1.0116007396806266,4.222423041344601,0.09191364199369718,0.10312262272463583,0.09751813235916651,1.69,0.14,0.12,0.13,0.0287188,0.000478647,0.000478647,0.000478647,2.64385,0.16,0.452,0.014,0.011999999999999999,0.013,0.464,0.009,0.011000000000000001,0.01,4.593,3350,300,300,300,4.843,,0,0,0,0,0.725858,Maness 2007,http://adsabs.harvard.edu/abs/2007PASP..119...90M,Butler 2004,http://adsabs.harvard.edu/abs/2004ApJ...617..580B
HAT-P-1 b,169.19571160992265,9.64649691674199,9.64649691674199,9.64649691674199,13.921554067825841,0.59407597873975,0.59407597873975,0.59407597873975,0.345,0.053,0.043000000000000003,0.048,0.0553326,0.00125349,0.00125349,0.00125349,4.4652934,0,1.133,0.075,0.079,0.077,1.135,0.048,0.048,0.048,0.7779,5975,120,120,120,4.382,0.13,0.08,0.08,0.08,2.2,0.14,Bakos 2007,http://adsabs.harvard.edu/abs/2007ApJ...656..552B,Bakos 2007,http://adsabs.harvard.edu/abs/2007ApJ...656..552B
HAT-P-11 b,26.23112115094908,2.8607976242844226,2.8607976242844226,2.8607976242844226,4.730189868456123,0.15692573023314152,0.15692573023314152,0.15692573023314152,1.33,0.2,0.2,0.2,0.0525443,0.000875738,0.000875738,0.000875738,4.8878162,0.198,0.81,0.02,0.02,0.02,0.75,0.02,0.02,0.02,2.5127,4780,50,50,50,4.59,0.31,0.05,0.05,0.05,1.5,0.023,Bakos 2010,http://adsabs.harvard.edu/abs/2010ApJ...710.1724B,Bakos 2010,http://adsabs.harvard.edu/abs/2010ApJ...710.1724B
HAT-P-12 b,66.99701295570954,4.198198528673295,4.198198528673295,4.198198528673295,10.749412520970195,0.3250604411972217,0.2353885953497123,0.280224518273467,0.295,0.025,0.025,0.025,0.0383737,0.000639561,0.000639561,0.000639561,3.2130598,0,0.73,0.018,0.018,0.018,0.701,0.017,0.012,0.0145,,4650,60,60,60,4.61,-0.29,0.05,0.05,0.05,0.5,,Hartman 2009,http://adsabs.harvard.edu/abs/2009ApJ...706..785H,Hartman 2009,http://adsabs.harvard.edu/abs/2009ApJ...706..785H
HAT-P-13 b,272.39426132369186,11.245082690569447,11.245082690569447,11.245082690569447,14.35870431633245,0.8855094777441558,0.8855094777441558,0.8855094777441558,0.499,0.1,0.1,0.1,0.0426946,0.000874889,0.000874889,0.000874889,2.91625,0.0133,1.22,0.05,0.09999999999999999,0.075,1.56,0.08,0.08,0.08,,5653,90,90,90,4.13,0.41,0.08,0.08,0.08,2.9,,Winn 2010,http://adsabs.harvard.edu/abs/2010ApJ...718..575W,Bakos 2009,http://adsabs.harvard.edu/abs/2009ApJ...707..446B
HAT-P-14 b,710.6474776539118,25.84821569749925,25.84821569749925,25.84821569749925,12.89032784057948,0.5828669980088114,0.5828669980088114,0.5828669980088114,1.82,0.24,0.24,0.24,0.0606258,0.00101043,0.00101043,0.00101043,4.627669,0.107,1.386,0.045,0.045,0.045,1.468,0.054,0.054,0.054,,6600,90,90,90,4.25,0.11,0.08,0.08,0.08,8.4,0.46,Torres 2010,http://adsabs.harvard.edu/abs/2010ApJ...715..458T,Torres 2010,http://adsabs.harvard.edu/abs/2010ApJ...715..458T
HAT-P-15 b,620.2318298684343,24.024202601185095,24.024202601185095,24.024202601185095,12.016027343566265,0.48198617143036326,0.48198617143036326,0.48198617143036326,1.96,0.22,0.22,0.22,0.0964692,0.00160782,0.00160782,0.00160782,10.863502,0.19,1.013,0.043,0.043,0.043,1.08,0.039,0.039,0.039,,5568,90,90,90,4.38,0.22,0.08,0.08,0.08,2,,Kovacs 2010,http://adsabs.harvard.edu/abs/2010ApJ...724..866K,Kovacs 2010,http://adsabs.harvard.edu/abs/2010ApJ...724..866K
