NAME,MSINI,MSINIUPPER,MSINILOWER,UMSINI,R,RUPPER,RLOWER,UR,MSTAR,MSTARUPPER,MSTARLOWER,UMSTAR,RSTAR,RSTARUPPER,RSTARLOWER,URSTAR,TEFF,TEFFUPPER,TEFFLOWER,UTEFF,A,AUPPER,ALOWER,UA,PER,ECC,I,FIRSTREF,FIRSTURL,ORBREF,ORBURL,DATE
#,mearth,mearth,mearth,mearth,rearth,rearth,rearth,rearth,msun,msun,msun,msun,rsun,rsun,rsun,rsun,k,k,k,k,au,au,au,au,day,,deg,,,,,
CoRoT-23 b,977.8009430551372,99.39460269157377,99.39460269157377,99.39460269157377,11.769429767485613,1.4571674950220284,1.4571674950220284,1.4571674950220284,1.14,0.08,0.08,0.08,1.61,0.18,0.18,0.18,5900,100,100,100,0.0483417,0.0011308,0.0011308,0.0011308,3.6313,0.16,85.7,Rouan 2012,http://adsabs.harvard.edu/abs/2012A%26A...537A..54R,Rouan 2012,http://adsabs.harvard.edu/abs/2012A%26A...537A..54R,2012
CoRoT-3 b,6928.084312543939,315.1707881389977,315.1707881389977,315.1707881389977,11.321070538248067,0.7846286511657077,0.7846286511657077,0.7846286511657077,1.37,0.09,0.09,0.09,1.56,0.09,0.09,0.09,6740,140,140,140,0.0573788,0.00125647,0.00125647,0.00125647,4.2568,0,85.9,Deleuil 2008,http://adsabs.harvard.edu/abs/2008A%26A...491..889D,Deleuil 2008,http://adsabs.harvard.edu/abs/2008A%26A...491..889D,2008
CoRoT-4 b,228.00767555488602,23.0066491563724,23.0066491563724,23.0066491563724,13.338687069817029,0.6164939402016274,0.6164939402016274,0.6164939402016274,1.16,0.03,0.020000000000000004,0.025,1.17,0.01,0.03,0.02,6190,60,60,60,0.0903166,0.00150528,0.00150528,0.00150528,9.20205,0,90,Moutou 2008 ; Aigrain 2008,http://adsabs.harvard.edu/abs/2008A%26A...488L..47M ; http://adsabs.harvard.edu/abs/2008A%26A...488L..43A,Moutou 2008,http://adsabs.harvard.edu/abs/2008A%26A...488L..47M,2008
CoRoT-5 b,146.61261665160188,12.557855985738675,12.557855985738675,12.557855985738675,15.558065254542889,0.5156131136231793,0.526822094354118,0.5212176039886486,1,0.02,0.02,0.02,1.186,0.04,0.04,0.04,6100,65,65,65,0.0496334,0.000827224,0.000827224,0.000827224,4.0378962,0.09,85.83,Rauer 2009,http://adsabs.harvard.edu/abs/2009A%26A...506..281R,Rauer 2009,http://adsabs.harvard.edu/abs/2009A%26A...506..281R,2009
CoRoT-6 b,938.5919077031234,105.31775087877874,105.31775087877874,105.31775087877874,13.0696715322745,0.39231432558285384,0.39231432558285384,0.39231432558285384,1.05,0.05,0.05,0.05,1.025,0.026,0.026,0.026,6090,50,50,50,0.0854177,0.00142363,0.00142363,0.00142363,8.886593,0,89.07,Fridlund 2010,http://adsabs.harvard.edu/abs/2010A%26A...512A..14F,Fridlund 2010,http://adsabs.harvard.edu/abs/2010A%26A...512A..14F,2010
CoRoT-7 b,4.946688430250075,0.8638859350205884,0.8638859350205884,0.8638859350205884,1.6791053134946141,0.09000811526943761,0.09000811526943761,0.09000811526943761,0.93,0.03,0.03,0.03,0.87,0.04,0.04,0.04,5275,75,75,75,0.0171897,0.000286495,0.000286495,0.000286495,0.853585,0,80.1,Queloz 2009 ; Leger 2009,http://adsabs.harvard.edu/abs/2009A%26A...506..303Q ; http://adsabs.harvard.edu/abs/2009A%26A...506..287L,Queloz 2009,http://adsabs.harvard.edu/abs/2009A%26A...506..303Q,2009
CoRoT-8 b,68.64648116902681,10.806050823541227,10.806050823541227,10.806050823541227,6.389119016635047,0.22417961461877361,0.22417961461877361,0.22417961461877361,0.88,0.04,0.04,0.04,0.77,0.02,0.02,0.02,5080,80,80,80,0.0633825,0.00105637,0.00105637,0.00105637,6.21229,0,88.4,Borde 2010,http://adsabs.harvard.edu/abs/2010A%26A...520A..66B,Borde 2010,http://adsabs.harvard.edu/abs/2010A%26A...520A..66B,2010
CoRoT-9 b,268.09865200361554,23.005981741488398,23.005981741488398,23.005981741488398,11.769429767485613,0.44835922923754723,0.44835922923754723,0.44835922923754723,0.99,0.04,0.04,0.04,0.94,0.04,0.04,0.04,5625,80,80,80,0.406991,0.00678319,0.00678319,0.00678319,95.2738,0.11,89.99,Deeg 2010,http://adsabs.harvard.edu/abs/2010Natur.464..384D,Deeg 2010,http://adsabs.harvard.edu/abs/2010Natur.464..384D,2010
GJ 1214 b,6.467790514211107,0.9958910645776842,0.9958910645776842,0.9958910645776842,2.6778254966212507,0.1299120866715793,0.1299120866715793,0.1299120866715793,0.157,0.019,0.019,0.019,0.211,0.0097,0.0097,0.0097,3026,130,130,130,0.0143253,0.000577878,0.000577878,0.000577878,1.58040482,0,90,Charbonneau 2009,http://adsabs.harvard.edu/abs/2009Natur.462..891C,Carter 2011,http://adsabs.harvard.edu/abs/2011ApJ...730...82C,2009
GJ 3470 b,13.980021758561815,1.6390470066285023,1.6390470066285023,1.6390470066285023,4.196250071337859,0.5994641357771123,0.5994641357771123,0.5994641357771123,0.541,0.067,0.067,0.067,0.503,0.063,0.063,0.063,3600,200,200,200,0.0356123,0.00147013,0.00147013,0.00147013,3.33714,0,90,Bonfils 2012,http://adsabs.harvard.edu/abs/2012A%26A...546A..27B,Bonfils 2012,http://adsabs.harvard.edu/abs/2012A%26A...546A..27B,2012
