NAME,R,RUPPER,RLOWER,MSINI,MSINIUPPER,MSINILOWER,I,PER,A,AUPPER,ALOWER,TEFF,TEFFUPPER,TEFFLOWER,RSTAR,RSTARUPPER,RSTARLOWER,ECC,FIRSTREF,FIRSTURL,ORBREF,ORBURL
,rjupiter,rjupiter,rjupiter,mjupiter,mjupiter,mjupiter,deg,day,au,au,au,k,k,k,rsun,rsun,rsun,,,,,
HAT-P-1 b,1.2419999838,0.0529999994,0.0529999994,0.5311428308,0.0303524099,0.0303524099,86.1100006104,4.4652934,0.0553326234,0.0012534899,0.0012534899,5975,120,120,1.1349999905,0.0480000004,0.0480000004,0,Bakos 2007,http://adsabs.harvard.edu/abs/2007ApJ...656..552B,Bakos 2007,http://adsabs.harvard.edu/abs/2007ApJ...656..552B
HAT-P-11 b,0.4219999909,0.0140000004,0.0140000004,0.0825070888,0.0090014143,0.0090014143,88.5,4.8878162,0.0525442883,0.0008757382,0.0008757382,4780,50,50,0.75,0.0199999996,0.0199999996,0.1979999989,Bakos 2010,http://adsabs.harvard.edu/abs/2010ApJ...710.1724B,Bakos 2010,http://adsabs.harvard.edu/abs/2010ApJ...710.1724B
HAT-P-12 b,0.9589999914,0.0289999992,0.0210000016,0.2107716501,0.0132095404,0.0132095404,89,3.2130598,0.0383736603,0.000639561,0.000639561,4650,60,60,0.7009999752,0.0170000009,0.0119999983,0,Hartman 2009,http://adsabs.harvard.edu/abs/2009ApJ...706..785H,Hartman 2009,http://adsabs.harvard.edu/abs/2009ApJ...706..785H
HAT-P-13 b,1.2810000181,0.0790000036,0.0790000036,0.8513996601,0.0353823006,0.0353823006,83.4000015259,2.91625,0.0426945761,0.0008748889,0.0008748889,5653,90,90,1.5599999428,0.0799999982,0.0799999982,0.0132999998,Bakos 2009,http://adsabs.harvard.edu/abs/2009ApJ...707..446B,Winn 2010,http://adsabs.harvard.edu/abs/2010ApJ...718..575W
HAT-P-14 b,1.1499999762,0.0520000011,0.0520000011,2.2216575146,0.08133059,0.08133059,83.5,4.627669,0.0606257506,0.0010104292,0.0010104292,6600,90,90,1.4680000544,0.0540000014,0.0540000014,0.1070000008,Torres 2010,http://adsabs.harvard.edu/abs/2010ApJ...715..458T,Torres 2010,http://adsabs.harvard.edu/abs/2010ApJ...715..458T
HAT-P-15 b,1.0720000267,0.0430000015,0.0430000015,1.9512956142,0.0755913928,0.0755913928,89.0999984741,10.863502,0.0964692384,0.0016078206,0.0016078206,5568,90,90,1.0800000429,0.0390000008,0.0390000008,0.1899999976,Kovacs 2010,http://adsabs.harvard.edu/abs/2010ApJ...724..866K,Kovacs 2010,http://adsabs.harvard.edu/abs/2010ApJ...724..866K
HAT-P-16 b,1.2890000343,0.0659999996,0.0659999996,4.1950984001,0.1415761262,0.1415761262,86.5999984741,2.77596,0.0413275436,0.0006887924,0.0006887924,6158,80,80,1.2369999886,0.0540000014,0.0540000014,0.0359999985,Buchhave 2010,http://adsabs.harvard.edu/abs/2010ApJ...720.1118B,Buchhave 2010,http://adsabs.harvard.edu/abs/2010ApJ...720.1118B
HAT-P-17 b,1.0099999905,0.0289999992,0.0289999992,0.5301064253,0.0195218772,0.0195218772,89.1999969482,10.338523,0.0882384554,0.001470641,0.001470641,5246,80,80,0.8370000124,0.0209999997,0.0209999997,0.3459999859,Howard 2012,http://adsabs.harvard.edu/abs/2012ApJ...749..134H,Howard 2012,http://adsabs.harvard.edu/abs/2012ApJ...749..134H
HAT-P-18 b,0.9950000048,0.0520000011,0.0520000011,0.1971617639,0.0133916121,0.0133916121,88.8000030518,5.508023,0.0559503287,0.0009325055,0.0009325055,4803,80,80,0.7490000129,0.0370000005,0.0370000005,0.0839999989,Hartman 2011,http://adsabs.harvard.edu/abs/2011ApJ...726...52H,Hartman 2011,http://adsabs.harvard.edu/abs/2011ApJ...726...52H
HAT-P-19 b,1.1319999695,0.0719999969,0.0719999969,0.2921290696,0.0175741818,0.0175741818,88.1999969482,4.008778,0.0466408543,0.0007773476,0.0007773476,4990,130,130,0.8199999928,0.0480000004,0.0480000004,0.0670000017,Hartman 2011,http://adsabs.harvard.edu/abs/2011ApJ...726...52H,Hartman 2011,http://adsabs.harvard.edu/abs/2011ApJ...726...52H
HAT-P-2 b,1.1569999456,0.0729999989,0.0630000085,8.8561229706,0.4058999419,0.4058999419,86.7200012207,5.6334729,0.0679087639,0.0014363984,0.0014363984,6290,60,60,1.506000042,0.1299999952,0.0960000008,0.5170999765,Bakos 2007,http://adsabs.harvard.edu/abs/2007ApJ...670..826B,Pal 2010,http://adsabs.harvard.edu/abs/2010MNRAS.401.2665P
HAT-P-20 b,0.8669999838,0.0329999998,0.0329999998,7.2781653404,0.2471767366,0.2471767366,86.8000030518,2.875317,0.0361600108,0.0006026669,0.0006026669,4595,80,80,0.6940000057,0.0209999997,0.0209999997,0.0149999997,Bakos 2011,http://adsabs.harvard.edu/abs/2011ApJ...742..116B,Bakos 2011,http://adsabs.harvard.edu/abs/2011ApJ...742..116B
HAT-P-21 b,1.0240000486,0.0920000002,0.0920000002,4.0734591484,0.1726607084,0.1726607084,87.1999969482,4.124481,0.049495142,0.000824919,0.000824919,5588,80,80,1.1050000191,0.0829999968,0.0829999968,0.2280000001,Bakos 2011,http://adsabs.harvard.edu/abs/2011ApJ...742..116B,Bakos 2011,http://adsabs.harvard.edu/abs/2011ApJ...742..116B
HAT-P-22 b,1.0800000429,0.0579999983,0.0579999983,2.1482203007,0.0771819502,0.0771819502,86.9000015259,3.21222,0.0414093956,0.0006901566,0.0006901566,5302,80,80,1.0399999619,0.0439999998,0.0439999998,0.0160000008,Bakos 2011,http://adsabs.harvard.edu/abs/2011ApJ...742..116B,Bakos 2011,http://adsabs.harvard.edu/abs/2011ApJ...742..116B
HAT-P-23 b,1.3680000305,0.0900000036,0.0900000036,2.0884017944,0.1220329627,0.1220329627,85.0999984741,1.212884,0.0231971163,0.0003866186,0.0003866186,5905,80,80,1.2029999495,0.074000001,0.074000001,0.1059999987,Bakos 2011,http://adsabs.harvard.edu/abs/2011ApJ...742..116B,Bakos 2011,http://adsabs.harvard.edu/abs/2011ApJ...742..116B
HAT-P-24 b,1.2419999838,0.0670000017,0.0670000017,0.6856520176,0.0362278558,0.0362278558,88.5999984741,3.35524,0.0465020798,0.0007750347,0.0007750347,6373,80,80,1.3170000315,0.0680000037,0.0680000037,0.0670000017,Kipping 2010,http://adsabs.harvard.edu/abs/2010ApJ...725.2017K,Kipping 2010,http://adsabs.harvard.edu/abs/2010ApJ...725.2017K
HAT-P-26 b,0.5649999976,0.0520000011,0.0520000011,0.0586313494,0.0071830074,0.0071830074,88.5999984741,4.234516,0.047868412,0.0007978069,0.0007978069,5079,88,88,0.7879999876,0.0979999974,0.0430000052,0.123999998,Hartman 2011,http://adsabs.harvard.edu/abs/2011ApJ...728..138H,Hartman 2011,http://adsabs.harvard.edu/abs/2011ApJ...728..138H
HAT-P-27 b,1.0379999876,0.0680000037,0.0499999971,0.6142287254,0.0901039764,0.0901039764,85.0100021362,3.0395589,0.039963074,0.0006660512,0.0006660512,5246,153,153,0.8640000224,0.0309999995,0.0309999995,0,Anderson 2011,http://adsabs.harvard.edu/abs/2011PASP..123..555A,Anderson 2011,http://adsabs.harvard.edu/abs/2011PASP..123..555A
HAT-P-28 b,1.2120000124,0.0974999964,0.0974999964,0.627450645,0.0375045836,0.0375045836,88,3.257215,0.0433673933,0.0007227899,0.0007227899,5680,90,90,1.1030000448,0.0909999982,0.0689999982,0.050999999,Buchhave 2011,http://adsabs.harvard.edu/abs/2011ApJ...733..116B,Buchhave 2011,http://adsabs.harvard.edu/abs/2011ApJ...733..116B
HAT-P-29 b,1.1069999933,0.1089999974,0.1089999974,0.778006494,0.0641995221,0.0641995221,87.0999984741,5.723186,0.0666842461,0.0011114042,0.0011114042,6087,88,88,1.2239999771,0.1330000013,0.0750000029,0.0949999988,Buchhave 2011,http://adsabs.harvard.edu/abs/2011ApJ...733..116B,Buchhave 2011,http://adsabs.harvard.edu/abs/2011ApJ...733..116B
HAT-P-3 b,0.898999989,0.0430000015,0.0489999987,0.5950213075,0.0248415153,0.0248415153,87.2399978638,2.899703,0.0388251767,0.0006833456,0.0006833456,5185,80,80,0.8330000043,0.0340000018,0.0439999998,0,Torres 2007,http://adsabs.harvard.edu/abs/2007ApJ...666L.121T,Torres 2008,http://adsabs.harvard.edu/abs/2008ApJ...677.1324T
HAT-P-30 b,1.3400000334,0.0649999976,0.0649999976,0.7066569328,0.0354378261,0.0354378261,83.5999984741,2.810595,0.0419042259,0.0006984038,0.0006984038,6304,88,88,1.2150000334,0.050999999,0.050999999,0.0350000001,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJ...735...24J,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJ...735...24J
HAT-P-31 b,1.0700000525,0.4799999893,0.3200000227,2.1662669182,0.0907294527,0.0907294527,87.0999984741,5.005425,0.0611920729,0.0012727417,0.0012727417,6065,100,100,1.3600000143,0.2700000107,0.1799999773,0.2450000048,Kipping 2011,http://adsabs.harvard.edu/abs/2011AJ....142...95K,Kipping 2011,http://adsabs.harvard.edu/abs/2011AJ....142...95K
HAT-P-32 b,2.0369999409,0.0989999995,0.0989999995,0.9505614638,0.1694972664,0.1694972664,88.6999969482,2.150009,0.0344202593,0.000573671,0.000573671,6001,88,88,1.3869999647,0.0670000017,0.0670000017,0.1630000025,Hartman 2011,http://adsabs.harvard.edu/abs/2011ApJ...742...59H,Hartman 2011,http://adsabs.harvard.edu/abs/2011ApJ...742...59H
HAT-P-33 b,1.8270000219,0.2899999917,0.2899999917,0.7650699019,0.1166200414,0.1166200414,86.6999969482,3.474474,0.0502682514,0.0011465318,0.0011465318,6401,88,88,1.7769999504,0.0280000009,0.0280000009,0.1480000019,Hartman 2011,http://adsabs.harvard.edu/abs/2011ApJ...742...59H,Hartman 2011,http://adsabs.harvard.edu/abs/2011ApJ...742...59H
HAT-P-34 b,1.1970000267,0.1280000061,0.0919999927,3.329729557,0.2417687476,0.2417687476,87.0999984741,5.452654,0.0677467361,0.0011291123,0.0011291123,6442,88,88,1.1970000267,0.1280000061,0.0919999927,0.4410000145,Bakos 2012,http://xxx.lanl.gov/abs/1201.0659,Bakos 2012,http://xxx.lanl.gov/abs/1201.0659
HAT-P-35 b,1.3320000172,0.0979999974,0.0979999974,1.0530458689,0.0400093384,0.0400093384,87.3000030518,3.646706,0.0497734249,0.0008295571,0.0008295571,6096,88,88,1.4349999428,0.0839999989,0.0839999989,0.0250000004,Bakos 2012,http://xxx.lanl.gov/abs/1201.0659,Bakos 2012,http://xxx.lanl.gov/abs/1201.0659
HAT-P-36 b,1.2640000582,0.0710000023,0.0710000023,1.8347539902,0.1003601402,0.1003601402,86,1.327347,0.0238228831,0.000397048,0.000397048,5560,100,100,1.0959999561,0.0560000017,0.0560000017,0.063000001,Bakos 2012,http://xxx.lanl.gov/abs/1201.0659,Bakos 2012,http://xxx.lanl.gov/abs/1201.0659
HAT-P-37 b,1.1779999733,0.0769999996,0.0769999996,1.1719037294,0.1051624939,0.1051624939,86.9000015259,2.79736,0.0379272662,0.0006321211,0.0006321211,5500,100,100,0.8769999743,0.0590000004,0.0439999998,0.0579999983,Bakos 2012,http://xxx.lanl.gov/abs/1201.0659,Bakos 2012,http://xxx.lanl.gov/abs/1201.0659
HAT-P-4 b,1.2740000486,0.0489999987,0.0599999987,0.6715065837,0.0359130837,0.0359130837,89.9100036621,3.056536,0.0443852544,0.0010669534,0.0010669534,5860,80,80,1.5959999561,0.0599999987,0.0750000067,0,Kovacs 2007,http://adsabs.harvard.edu/abs/2007ApJ...670L..41K,Kovacs 2007,http://adsabs.harvard.edu/abs/2007ApJ...670L..41K
HAT-P-5 b,1.2539999485,0.050999999,0.0560000018,1.0539109707,0.1133539975,0.1133539975,86.75,2.788491,0.0407151729,0.0007272662,0.0007272662,5960,100,100,1.1649999619,0.0460000001,0.0519999973,0,Bakos 2007,http://adsabs.harvard.edu/abs/2007ApJ...671L.173B,Bakos 2007,http://adsabs.harvard.edu/abs/2007ApJ...671L.173B
HAT-P-6 b,1.3300000429,0.064000003,0.0579999984,1.0563187599,0.0522927754,0.0522927754,85.5100021362,3.852985,0.0523738377,0.0008796639,0.0008796639,6570,80,80,1.4600000381,0.0599999987,0.0599999987,0,Noyes 2008,http://adsabs.harvard.edu/abs/2008ApJ...673L..79N,Noyes 2008,http://adsabs.harvard.edu/abs/2008ApJ...673L..79N
HAT-P-7 b,1.3630000353,0.1949999928,0.0870000124,1.7786644697,0.063181527,0.063181527,80.8000030518,2.2047304,0.0379639193,0.000632732,0.000632732,6389,0,34,1.9809999466,0.0130000003,0.1169999949,0,Pal 2008,http://adsabs.harvard.edu/abs/2008ApJ...680.1450P,Winn 2009,http://adsabs.harvard.edu/abs/2009ApJ...703L..99W
HAT-P-8 b,1.5,0.0700000003,0.0700000003,1.2924089432,0.0542197935,0.0542197935,87.8000030518,3.076337,0.0449612699,0.0007493545,0.0007493545,6200,80,80,1.5800000429,0.0799999982,0.0600000024,0,Latham 2009,http://adsabs.harvard.edu/abs/2009ApJ...704.1107L,Latham 2009,http://adsabs.harvard.edu/abs/2009ApJ...704.1107L
HAT-P-9 b,1.3999999762,0.0599999987,0.0599999987,0.7751526833,0.0893404409,0.0893404409,86.5,3.92289,0.0528645143,0.0017896841,0.0017896841,6350,150,150,1.3200000525,0.0700000003,0.0700000003,0,Shporer 2009,http://adsabs.harvard.edu/abs/2009ApJ...690.1393S,Shporer 2009,http://adsabs.harvard.edu/abs/2009ApJ...690.1393S
HD 149026 b,0.6539999843,0.0599999987,0.0460000001,0.359837383,0.0155986752,0.0155986752,84.5500030518,2.8758911,0.0431325026,0.000718875,0.000718875,6160,50,50,1.3680000305,0.1199999973,0.0829999969,0,Sato 2005,http://adsabs.harvard.edu/abs/2005ApJ...633..465S,Carter 2009,http://adsabs.harvard.edu/abs/2009ApJ...696..241C
HD 17156 b,1.0199999809,0.0799999982,0.0799999982,3.3003549576,0.111560151,0.111560151,87.8160018921,21.21663,0.1631972939,0.002719956,0.002719956,6079,56,56,1.5069999695,0.0120000001,0.0120000001,0.6819000244,Fischer 2007,http://adsabs.harvard.edu/abs/2007ApJ...669.1336F,Barbieri 2009,http://adsabs.harvard.edu/abs/2009A%26A...503..601B
HD 189733 b,1.1380000114,0.0270000007,0.0270000007,1.140391469,0.0562491715,0.0562491715,85.7099990845,2.21857567,0.030995341,0.0006152922,0.0006152922,5040,50,50,0.7559999824,0.0179999992,0.0179999992,0,Bouchy 2005,http://adsabs.harvard.edu/abs/2005A%26A...444L..15B,Bouchy 2005,http://adsabs.harvard.edu/abs/2005A%26A...444L..15B
HD 209458 b,1.3589999676,0.0149999997,0.0149999997,0.6885097027,0.0236456823,0.0236456823,86.7099990845,3.52474859,0.0472349636,0.0007872494,0.0007872494,6065,50,50,1.1549999714,0.0140000004,0.015999999,0,Henry 2000 ; Charbonneau 2000,http://adsabs.harvard.edu/abs/2000ApJ...529L..41H ; http://adsabs.harvard.edu/abs/2000ApJ...529L..45C,Torres 2008,http://adsabs.harvard.edu/abs/2008ApJ...677.1324T
HD 80606 b,1.0290000439,0.0170000009,0.0170000009,3.8902409077,0.1880826056,0.1880826056,89.2850036621,111.4367,0.4473429322,0.0093391016,0.0093391016,5572.509765625,44,44,0.9800000191,0.0700000003,0.0700000003,0.9340000153,Naef 2001,http://adsabs.harvard.edu/abs/2001A%26A...375L..27N,Moutou 2009,http://adsabs.harvard.edu/abs/2009A%26A...498L...5M
KOI-135 b,1.2000000477,0.0599999987,0.0599999987,3.2157287598,0.1838287115,0.1838287115,84.3499984741,3.024095,0.0449294448,0.0010211238,0.0010211238,6041,143,143,1.4199999571,0.0700000003,0.0700000003,0,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,Bonomo 2012,http://adsabs.harvard.edu/abs/2012A%26A...538A..96B
KOI-196 b,0.8410000205,0.0320000015,0.0320000015,0.4933273792,0.071185708,0.071185708,88.3000030518,1.855558,0.0289537385,0.0009240555,0.0009240555,5660,100,100,0.9660000205,0.0320000015,0.0320000015,0,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,Santerne 2011,http://adsabs.harvard.edu/abs/2011A%26A...536A..70S
KOI-204 b,1.2400000095,0.0700000003,0.0700000003,1.0150771141,0.070065476,0.070065476,83.7799987793,3.24674,0.0454853661,0.0012740998,0.0012740998,5757,134,134,1.5199999809,0.0900000036,0.0900000036,0,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,Bonomo 2012,http://adsabs.harvard.edu/abs/2012A%26A...538A..96B
KOI-254 b,0.9599999785,0.1099999994,0.1099999994,0.5107975602,0.0579970963,0.0579970963,87,2.455239,0.0298817437,0.0010129405,0.0010129405,3820,90,90,0.5500000119,0.1099999994,0.1099999994,0.1099999994,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,Johnson 2012,http://adsabs.harvard.edu/abs/2012AJ....143..111J
KOI-428 b,1.1699999571,0.0399999991,0.0399999991,2.1768107414,0.3362676799,0.3362676799,89.6999969482,6.87349,0.0806643665,0.0013444155,0.0013444155,6510,100,100,2.1300001144,0.0599999987,0.0599999987,0,Santerne 2011,http://adsabs.harvard.edu/abs/2011A%26A...528A..63S,Santerne 2011,http://adsabs.harvard.edu/abs/2011A%26A...528A..63S
Kepler-10 b,0.1263269931,0.0029440599,0.0032117001,0.0142141953,0.003928306,0.003928306,84.4000015259,0.837495,0.0167573188,0.0003744652,0.0003744652,5627,44,44,1.0559999943,0.0209999997,0.0209999997,0,Batalha 2011,http://adsabs.harvard.edu/abs/2011ApJ...729...27B,Batalha 2011,http://adsabs.harvard.edu/abs/2011ApJ...729...27B
Kepler-11 b,0.175751999,0.0169507004,0.0169507004,0.0135199996,0.0069209998,0.0062910002,88.5,10.30375,0.0910985097,0.003196439,0.003196439,5680,100,100,1.1000000238,0.1000000015,0.1000000015,0,Lissauer 2011,http://adsabs.harvard.edu/abs/2011Natur.470...53L,Lissauer 2011,http://adsabs.harvard.edu/abs/2011Natur.470...53L
Kepler-11 c,0.281024009,0.0267641991,0.0267641991,0.0424700007,0.0151000004,0.019179998,89,13.02502,0.1065041795,0.041106876,0.041106876,5680,100,100,1.1000000238,0.1000000015,0.1000000015,0,Lissauer 2011,http://adsabs.harvard.edu/abs/2011Natur.470...53L,Lissauer 2011,http://adsabs.harvard.edu/abs/2011Natur.470...53L
Kepler-11 d,0.3060039878,0.0285484996,0.0285484996,0.0191935003,0.009753,0.0053500598,89.3000030518,22.68719,0.1541834176,0.0054099448,0.0054099448,5680,100,100,1.1000000238,0.1000000015,0.1000000015,0,Lissauer 2011,http://adsabs.harvard.edu/abs/2011Natur.470...53L,Lissauer 2011,http://adsabs.harvard.edu/abs/2011Natur.470...53L
Kepler-11 e,0.4032480121,0.0017842799,0.0017842799,0.0264261998,0.0078600002,0.00598,88.8000030518,31.9959,0.1938997656,0.0068035005,0.0068035005,5680,100,100,1.1000000238,0.1000000015,0.1000000015,0,Lissauer 2011,http://adsabs.harvard.edu/abs/2011Natur.470...53L,Lissauer 2011,http://adsabs.harvard.edu/abs/2011Natur.470...53L
Kepler-11 f,0.2328490019,0.0223034993,0.0223034993,0.0072300001,0.0069211498,0.0037768502,89.4000015259,46.68876,0.2494533062,0.0087527484,0.0087527484,5680,100,100,1.1000000238,0.1000000015,0.1000000015,0,Lissauer 2011,http://adsabs.harvard.edu/abs/2011Natur.470...53L,Lissauer 2011,http://adsabs.harvard.edu/abs/2011Natur.470...53L
