  KOI     ,                   Per     ,     R      ,   err(R)       ,      M    ,   err(M)   ,      rho_pl  , err(rho_pl)  ,   K    ,     err(K)    ,      rho*  ,  err(rho*)   ,     b   ,   err(b)      ,                rp/R*     ,                  Epoch of transit ,  Upper Limit to Mass
  244.01 ,                  12.7204 ,     5.20  ,  0.09  ,         24.60  ,  5.7  ,         0.90  ,  0.21  ,          5.63  ,  1.3  ,         0.75  ,  0.01  ,         0.88  ,  0.00  ,                    0.036409 ,                 111.52730   , 32.4
  244.02 ,                   6.2385 ,     2.71  ,  0.05  ,          9.6  ,  4.20  ,         2.50  ,  1.10  ,          2.80  ,  1.2  ,         0.75  ,  0.01  ,         0.54  ,  0.01  ,                    0.018950 ,                 104.70541   , 16.0
  245.01 ,                  39.7922 ,     1.94  ,  0.06  ,         1.87  ,  9.08  ,        1.3  ,  3.67  ,         0.40  ,  1.2  ,         2.46  ,  0.04  ,         0.53  ,  0.01  ,                    0.023068 ,                 108.24950   , 12.2
  245.02 ,                  21.3020 ,     0.75  ,  0.03  ,          3.35  ,  4.0  ,       44.33  ,  53.60  ,          0.92  ,  1.1  ,         2.46  ,  0.04  ,         0.43  ,  0.02  ,                    0.008909 ,                 124.83685   , 12.0
  245.03 ,                  13.3675 ,     0.32  ,  0.02  ,         2.78  ,  3.7  ,        548.8  ,  700.00  ,         0.95  ,  1.1  ,         2.46  ,  0.04  ,         0.48  ,  0.13  ,                    0.003828 ,                 117.04171   , 10.0
  246.01 ,                  5.39875 ,     2.33  ,  0.02  ,          5.97  ,  1.7  ,         2.60 ,  0.74  ,          2.07  ,  0.59  ,         0.79  ,  0.01  ,         0.48  ,  0.01  ,                    0.017383 ,                 106.85783   , 9.3
  246.02 ,                  9.60504 ,     1.00  ,  0.02  ,          2.18  ,  3.5  ,       10.77  ,  17.29  ,          0.57  ,  0.9  ,         0.79  ,  0.01  ,         0.77  ,  0.01  ,                    0.007455 ,                  69.38025   , 7.2
  261.01 ,                  16.2385 ,     2.67  ,  0.22  ,          8.46  ,  3.4  ,         2.26  ,  1.11  ,          2.10  ,  0.8  ,         1.54  ,  0.25  ,         0.54  ,  0.07  ,                    0.023967 ,                 104.01897   , 12.0
  283.01 ,                  16.0920 ,     2.41  ,  0.20  ,         16.13  ,  3.5  ,         6.00  ,  1.98  ,          3.95  ,  0.8  ,         1.44  ,  0.21  ,         0.79  ,  0.02  ,                    0.021263 ,                 103.59795   , 19.4
  283.02 ,                  25.5169 ,     0.84  ,  0.07  ,          8.25  ,  5.9  ,         77.7  ,  55.  ,           3.58  ,  0.9  ,         1.44  ,  0.21  ,         0.27  ,  0.16  ,                    0.007394 ,                  87.42342   , 20.0
  292.01 ,                  2.58664 ,     1.48  ,  0.13  ,          3.51  ,  1.9  ,         5.44  ,  3.48  ,          1.65  ,  0.9  ,         1.53  ,  0.31  ,         0.41  ,  0.16  ,                    0.013803 ,                 104.84121   , 9.1
  299.01 ,                  1.54168 ,     1.99  ,  0.22  ,          3.55  ,  1.6  ,         2.18  ,  1.21  ,          1.82  ,  0.8  ,         1.12  ,  0.34  ,         0.56  ,  0.14  ,                    0.016377 ,                 103.54328   , 6.4
  305.01 ,                  4.60358 ,     1.48  ,  0.08  ,          6.15  ,  1.3  ,        10.90  ,  2.82  ,          2.91  ,  0.6  ,         2.86  ,  0.23  ,         0.21  ,  0.13  ,                    0.018475 ,                 104.83893   , 9.7
  321.01 ,                  2.42629 ,     1.43  ,  0.03  ,          6.35  ,  1.4  ,        11.82  ,  2.70  ,          2.89  ,  0.6  ,         1.12  ,  0.02  ,         0.10  ,  0.06  ,                    0.012285 ,                 103.45680   , 8.1
  321.02 ,                  4.62332 ,     0.85  ,  0.03  ,          2.71  ,  1.8  ,       24.39  ,  16.13  ,          1.00  ,  0.6  ,         1.12  ,  0.02  ,         0.36  ,  0.06  ,                    0.007261 ,                  65.37438   , 6.0
 1442.01 ,                 0.669310 ,     1.07  ,  0.02  ,          0.06  ,  1.2  ,         0.29  ,  5.70  ,          0.05  ,  0.9  ,         1.38  ,  0.16  ,         0.25  ,  0.15  ,                    0.010414 ,                  67.13162   , 3.2
 1612.01 ,                  2.46502 ,     0.82  ,  0.03  ,          0.48  ,  3.2  ,        4.42  ,  29.82  ,          0.20  ,  1.3  ,         0.82  ,  0.01  ,         0.92  ,  0.01  ,                    0.006136 ,                  65.67928   , 5.0
 1925.01 ,                  68.9584 ,     1.19  ,  0.03  ,          2.69  ,  6.2  ,        8.88  ,  20.60  ,          0.45  ,  1.0  ,         1.81  ,  0.00  ,         0.90  ,  0.01  ,                    0.012223 ,                 112.08151   , 22.0
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
