  KOI    <rhostar>      T0            P        r/R*     b       K    ecosw  esinw    Mp     Rp     i       a/R*      a       Tdepth   rhop loggp  Teq
          gcm3      BJD-2454900      Days                      m/s                   Me     Re    deg               AU        ppm     gcm3  cgs    K
-----------------------------------------------------------------------------------------------------------------------------------------------------
 116.04  1.378947   80.532631   23.98018646 0.008362 0.4533   -2.84  0.000  0.000  -13.34  0.948 89.227   34.737   0.162905    76.07 -77.0 2.504  736.
 u        0.146840    0.006023    0.00022769 0.000412 0.1059    0.90  0.000  0.000    4.44  0.131  0.226    1.260   0.002874     7.32 39.75 0.562   72.
 122.01  0.540590   64.968407   11.52307415 0.022166 0.7409    3.36  0.000  0.000   14.97  3.423 87.274   15.597   0.102578   502.38  1.71 3.020 1043.
 u        0.018275    0.000690    0.00001193 0.000117 0.0076    0.64  0.000  0.000    2.88  0.094  0.101    0.176   0.002369     4.05  0.37 0.089   76.
 123.01  0.654560   55.977547    6.48162842 0.016434 0.5834    1.67  0.000  0.000    5.86  2.374 87.006   11.329   0.068906   300.25  2.04 2.961 1286.
 u        0.023769    0.000775    0.00000760 0.000098 0.0159    1.03  0.000  0.000    3.61  0.067  0.131    0.137   0.001411     2.89  1.28 0.242   94.
 123.02  0.654560   70.572502   21.22265244 0.017432 0.1555    0.43  0.000  0.000    2.22  2.518 89.639   24.980   0.151946   363.72  0.65 2.917  866.
 u        0.023769    0.001188    0.00003959 0.000099 0.0808    1.50  0.000  0.000    7.82  0.071  0.188    0.301   0.003112     3.59  2.30 0.370   63.
*148 has not converged
 148.01  1.976414   57.061134    4.77799606 0.019318 0.1726    1.62  0.000  0.000    3.94  1.875 89.240   13.361   0.053264   463.77  3.23 3.053 1045.
 u        0.126852    0.000688    0.00000519 0.000157 0.1103    0.87  0.000  0.000    2.11  0.099  0.494    0.288   0.000413     4.92  1.84 0.222   80.
 148.02  1.976414   58.339249    9.67395306 0.027892 0.3774    4.74  0.000  0.000   14.61  2.707 88.944   21.384   0.085246   937.08  4.01 3.288  826.
 u        0.126852    0.000504    0.00000756 0.000210 0.0490    0.74  0.000  0.000    2.35  0.143  0.148    0.460   0.000660     6.61  0.91 0.084   63.
 148.03  1.976414   79.065536   42.89614868 0.021021 0.2047    1.57  0.000  0.000    7.93  2.039 89.790   57.717   0.230083   549.08  5.08 3.291  503.
 u        0.126852    0.001906    0.00013212 0.000234 0.1109    0.91  0.000  0.000    4.63  0.109  0.115    1.242   0.001783     9.43  3.12 0.233   38.
 148.10  1.976414  627.040955  971.98217773 0.000000 0.0000   45.83  0.000  0.000  656.85  0.000  0.000  461.859   1.844476     0.00  0.00 0.000  178.
 u        0.126852    3.399086    8.25485039 0.000000 0.0000    0.77  0.000  0.000   25.47  0.000  0.000   10.135   0.017668     0.00  0.00 0.000   14.
