  KOI    <rhostar>      T0            P        r/R*     b       K    ecosw  esinw    Mp     Rp     i       a/R*      a       Tdepth   rhop loggp  Teq
          gcm3      BJD-2454900      Days                      m/s                   Me     Re    deg               AU        ppm     gcm3  cgs    K
-----------------------------------------------------------------------------------------------------------------------------------------------------
Tdepth (ppm)        74.6          2.1          2.0         -2.4          4.0         -5.1          6.9         -6.7
rho_p (g/cm^3)      14.3          6.3          5.5         -7.8         13.1        -13.3         21.1        -21.7
log(g)_p (cgs)       3.53         0.19         0.21        -0.16         0.32        -0.48         0.37        -0.75
Teq (K)           1300.          94.         101.         -99.         173.        -198.         239.        -242.

T0 (BJD-2454900)    86.9804       0.0050       0.0039      -0.0068       0.0089      -0.0113       0.0145      -0.0180
Period (days)       35.33312      0.00026      0.00027     -0.00026      0.00054     -0.00050      0.00074     -0.00086
b                    0.753        0.013        0.013       -0.014        0.024       -0.030        0.035       -0.042
Rp/R*                0.00993      0.00021      0.00021     -0.00022      0.00041     -0.00045      0.00057     -0.00066
K (m/s)             -0.8          1.0          1.0         -1.1          2.1         -2.1          2.9         -3.1
Mp (Mearth)         -5.3          7.0          6.9         -7.5         14.2        -14.2         19.5        -21.5
Rp (Rearth)          1.614        0.050        0.051       -0.052        0.103       -0.102        0.155       -0.153
i (deg)             88.618        0.048        0.048       -0.051        0.088       -0.113        0.141       -0.157
a/R*                30.81         0.16         0.14        -0.18         0.31        -0.39         0.50        -0.60
a (AU)               0.2162       0.0042       0.0041      -0.0044       0.0081      -0.0089       0.0121      -0.0136
Tdepth (ppm)       100.5          3.9          3.7         -4.2          7.7         -8.3         11.4        -11.6
 Type <RETURN> for next page: 
rho_p (g/cm^3)      -5.6          7.5          7.9         -7.2         15.1        -15.9         21.0        -24.1
log(g)_p (cgs)       3.00         0.44         0.51        -0.37         0.68        -1.11         0.77        -1.67
Teq (K)            754.          55.          58.         -58.          99.        -117.         139.        -142.

-----
KOI69
-----

     Parameter       Median       Stdev       +1 sig       -1 sig       +2 sig       -2 sig       +3 sig       -3 sig     
 -------------------------------------------------------------------------------------------------------------------------
M* (Msun)            0.909        0.056        0.048       -0.069        0.105       -0.130        0.170       -0.179
R* (Rsun)            0.921        0.020        0.019       -0.021        0.039       -0.042        0.060       -0.060
Z                    0.0200       0.0020       0.0020      -0.0021       0.0039      -0.0041       0.0057      -0.0068
Teff (K)          5669.          74.          73.         -79.         146.        -154.         226.        -227.
L (Lsun)             1.000        0.099        0.087       -0.119        0.188       -0.224        0.280       -0.329
Age (Gyr)            5.000        0.099        0.085       -0.121        0.184       -0.228        0.300       -0.314
log(g) (cgs)         4.467        0.033        0.032       -0.036        0.064       -0.071        0.096       -0.105
rhostar (g/cm^3)     1.640        0.010        0.010       -0.011        0.020       -0.021        0.031       -0.031

gamma (m/s)        -37.         178.         176.        -208.         333.        -329.         439.        -399.
Phot zpt (ppm)       0.8          1.4          1.4         -1.7          2.5         -3.0          3.6         -3.9

T0 (BJD-2454900)    67.92578      0.00029      0.00026     -0.00032      0.00060     -0.00062      0.00086     -0.00092
Period (days)        4.7267389    0.0000021    0.0000021   -0.0000023    0.0000043   -0.0000045    0.0000062   -0.0000065
b                    0.201        0.018        0.018       -0.017        0.034       -0.040        0.046       -0.071
Rp/R*                0.014927     0.000038     0.000037    -0.000040     0.000075    -0.000080     0.000113    -0.000127
K (m/s)              1.05         0.82         0.81        -0.85         1.53        -1.88         2.53        -2.39
Mp (Mearth)          2.6          2.0          2.0         -2.1          3.7         -4.8          6.3         -6.1
Rp (Rearth)          1.501        0.032        0.028       -0.040        0.066       -0.066        0.099       -0.099
i (deg)             89.075        0.086        0.083       -0.091        0.181       -0.177        0.298       -0.248
a/R*                12.465        0.025        0.024       -0.028        0.051       -0.053        0.073       -0.076
a (AU)               0.0534       0.0011       0.0011      -0.0012       0.0021      -0.0024       0.0032      -0.0036
Tdepth (ppm)       265.3          2.9          2.7         -3.6          5.6         -5.7          7.7         -7.9
rho_p (g/cm^3)       4.2          3.3          3.2         -3.5          6.7         -6.7         10.5         -9.8
log(g)_p (cgs)       3.10         0.28         0.29        -0.24         0.39        -0.78         0.50        -1.12
Teq (K)           1160.          84.          85.         -94.         158.        -172.         210.        -229.

T0 (BJD-2454900)   50204.        5248.        5358.       -6230.       10028.       -9250.       12248.      -10708.
K (m/s)            574.          34.          29.         -38.          81.         -63.         127.         -97.
Mp (Mearth)        44235.        2924.        2260.       -3590.        6918.       -5372.       10750.       -7876.
a/R*               10026.          20.          19.         -23.          41.         -43.          59.         -61.
a (AU)              42.95         0.89         0.87        -0.95         1.74        -1.90         2.56        -2.90
Teq (K)             40.9          3.0          3.1         -3.2          5.7         -5.9          7.5         -7.9

-----
KOI69ef
-----

     Parameter       Median       Stdev       +1 sig       -1 sig       +2 sig       -2 sig       +3 sig       -3 sig     
 -------------------------------------------------------------------------------------------------------------------------
M* (Msun)            0.909        0.056        0.048       -0.069        0.105       -0.130        0.170       -0.179
R* (Rsun)            0.921        0.020        0.019       -0.021        0.039       -0.042        0.060       -0.060
Z                    0.0200       0.0020       0.0020      -0.0021       0.0039      -0.0041       0.0057      -0.0068
Teff (K)          5669.          74.          73.         -79.         146.        -154.         226.        -227.
L (Lsun)             1.000        0.099        0.087       -0.119        0.188       -0.224        0.280       -0.329
Age (Gyr)            5.000        0.099        0.085       -0.121        0.184       -0.228        0.300       -0.314
log(g) (cgs)         4.467        0.033        0.032       -0.036        0.064       -0.071        0.096       -0.105
rhostar (g/cm^3)     1.640        0.010        0.010       -0.011        0.020       -0.021        0.031       -0.031

gamma (m/s)       -122.         107.          72.        -138.         281.        -248.         364.        -248.
Phot zpt (ppm)       1.44         0.96         1.00        -0.89         1.75        -2.23         2.28        -3.73

T0 (BJD-2454900)    67.92731      0.00060      0.00049     -0.00072      0.00132     -0.00114      0.00206     -0.00142
Period (days)        4.7267385    0.0000021    0.0000017   -0.0000026    0.0000042   -0.0000044    0.0000067   -0.0000070
b                    0.499        0.089        0.098       -0.075        0.158       -0.233        0.209       -0.358
Rp/R*                0.01535      0.00029      0.00025     -0.00033      0.00060     -0.00056      0.00084     -0.00056
e cos w              0.38         0.14         0.15        -0.11         0.18        -0.52         0.26        -0.56
e sin w             -0.212        0.094        0.090       -0.105        0.160       -0.203        0.239       -0.231
K (m/s)              1.72         1.04         0.88        -1.30         2.11        -2.19         3.42        -3.71
Mp (Mearth)          4.3          2.6          2.2         -3.2          5.0         -5.7          8.3         -9.0
Rp (Rearth)          1.545        0.044        0.036       -0.054        0.088       -0.091        0.135       -0.127
i (deg)             87.71         0.42         0.34        -0.47         1.02        -0.84         1.65        -0.98
a/R*                12.465        0.026        0.024       -0.029        0.047       -0.057        0.073       -0.080
a (AU)               0.0534       0.0011       0.0011      -0.0012       0.0021      -0.0024       0.0032      -0.0036
Tdepth (ppm)       264.7          2.1          1.9         -2.2          4.6         -3.9          6.6         -6.2
rho_p (g/cm^3)       6.3          3.9          3.2         -4.8          7.4         -9.1         13.2        -12.4
log(g)_p (cgs)       3.27         0.24         0.25        -0.21         0.37        -0.68         0.47        -0.96
Teq (K)           1160.          84.          90.         -88.         164.        -161.         213.        -213.

T0 (BJD-2454900)   50948.        3170.        1744.       -4661.        7438.       -5520.       10960.       -6984.
K (m/s)            582.          21.          19.         -24.          39.         -50.          57.         -71.
Mp (Mearth)        44841.        1868.        1600.       -2192.        3696.       -4008.        5513.       -5857.
a/R*               10027.          21.          19.         -24.          38.         -46.          59.         -64.
a (AU)              42.95         0.89         0.87        -0.95         1.73        -1.89         2.56        -2.90
Teq (K)             40.9          3.0          3.1         -3.3          5.7         -5.9          7.5         -7.9

-----
KOI82
-----

     Parameter       Median       Stdev       +1 sig       -1 sig       +2 sig       -2 sig       +3 sig       -3 sig     
 -------------------------------------------------------------------------------------------------------------------------
M* (Msun)            0.800        0.020        0.019       -0.022        0.038       -0.040        0.057       -0.056
R* (Rsun)            0.736        0.023        0.022       -0.025        0.048       -0.047        0.076       -0.063
Z                    0.0214       0.0018       0.0018      -0.0019       0.0036      -0.0038       0.0057      -0.0054
Teff (K)          4904.          43.          44.         -43.          86.         -93.         132.        -136.
L (Lsun)             0.281        0.024        0.022       -0.027        0.049       -0.050        0.080       -0.068
Age (Gyr)            5.1          3.8          2.3         -5.1          7.6         -5.1          8.8         -5.1
log(g) (cgs)         4.608        0.028        0.027       -0.031        0.040       -0.068        0.055       -0.100
rhostar (g/cm^3)     2.83         0.26         0.28        -0.28         0.45        -0.59         0.68        -0.97

rhostar (g/cm^3)     2.764        0.088        0.078       -0.099        0.168       -0.205        0.229       -0.341
gamma (m/s)          0.80         0.53         0.46        -0.64         1.03        -1.10         1.59        -1.74
Phot zpt (ppm)       0.46         0.63         0.60        -0.69         1.22        -1.46         1.97        -1.90

T0 (BJD-2454900)    67.75385      0.00031      0.00030     -0.00034      0.00062     -0.00071      0.00096     -0.00108
Period (days)       16.1456738    0.0000078    0.0000075   -0.0000081    0.0000165   -0.0000162    0.0000274   -0.0000250
b                    0.297        0.034        0.031       -0.037        0.076       -0.068        0.118       -0.113
Rp/R*                0.027639     0.000106     0.000098    -0.000114     0.000206    -0.000256     0.000358    -0.000301
K (m/s)              2.77         0.60         0.54        -0.70         1.22        -1.26         1.86        -1.90
Mp (Mearth)          8.9          2.0          1.6         -2.5          3.9         -4.2          6.0         -6.1
Rp (Rearth)          2.222        0.070        0.066       -0.076        0.149       -0.140        0.232       -0.196
i (deg)             89.496        0.060        0.049       -0.075        0.112       -0.143        0.185       -0.207
a/R*                33.65         0.36         0.28        -0.47         0.64        -0.92         0.95        -1.42
a (AU)               0.11605      0.00095      0.00097     -0.00099      0.00167     -0.00214      0.00278     -0.00269
Tdepth (ppm)       945.6          3.7          3.4         -4.1          7.1         -8.0         12.1        -10.9
rho_p (g/cm^3)       4.7          1.1          1.0         -1.3          2.3         -2.3          3.6         -3.3
log(g)_p (cgs)       3.270        0.098        0.095       -0.107        0.173       -0.252        0.231       -0.392
Teq (K)            609.          44.          47.         -47.          86.         -86.         112.        -114.

T0 (BJD-2454900)    67.07917      0.00076      0.00071     -0.00084      0.00157     -0.00159      0.00234     -0.00246
Period (days)       10.311744     0.000012     0.000012    -0.000013     0.000023    -0.000028     0.000039    -0.000040
b                    0.221        0.046        0.042       -0.054        0.097       -0.099        0.145       -0.182
Rp/R*                0.014682     0.000101     0.000092    -0.000118     0.000209    -0.000207     0.000301    -0.000306
K (m/s)              1.37         0.65         0.59        -0.76         1.21        -1.46         1.93        -2.17
Mp (Mearth)          3.8          1.8          1.9         -1.9          3.6         -3.7          5.4         -5.8
Rp (Rearth)          1.181        0.038        0.031       -0.046        0.080       -0.077        0.125       -0.105
i (deg)             89.50         0.11         0.11        -0.11         0.21        -0.26         0.38        -0.37
a/R*                24.95         0.27         0.21        -0.35         0.47        -0.68         0.71        -1.05
a (AU)               0.08606      0.00070      0.00072     -0.00073      0.00124     -0.00159      0.00205     -0.00200
Tdepth (ppm)       269.3          3.1          2.8         -3.6          5.6         -7.6          9.5         -9.7
rho_p (g/cm^3)      13.3          6.5          5.6         -7.8         13.3        -12.9         20.3        -20.3
log(g)_p (cgs)       3.46         0.20         0.23        -0.16         0.30        -0.57         0.38        -0.80
Teq (K)            707.          51.          48.         -63.          99.        -100.         132.        -135.

T0 (BJD-2454900)    78.0260       0.0026       0.0025      -0.0028       0.0055      -0.0051       0.0086      -0.0082
Period (days)       27.453619     0.000105     0.000087    -0.000131     0.000198    -0.000248     0.000319    -0.000347
b                    0.567        0.026        0.025       -0.027        0.054       -0.058        0.076       -0.090
Rp/R*                0.01096      0.00022      0.00021     -0.00023      0.00042     -0.00047      0.00064     -0.00071
K (m/s)              2.11         0.75         0.72        -0.81         1.47        -1.57         2.35        -2.19
Mp (Mearth)          8.1          2.9          2.4         -3.6          5.9         -5.7          9.1         -8.4
Rp (Rearth)          0.882        0.033        0.031       -0.035        0.067       -0.066        0.107       -0.095
i (deg)             89.326        0.037        0.037       -0.039        0.071       -0.088        0.115       -0.123
a/R*                47.93         0.51         0.40        -0.67         0.91        -1.31         1.36        -2.02
a (AU)               0.1653       0.0013       0.0014      -0.0014       0.0024      -0.0031       0.0040      -0.0039
Tdepth (ppm)       135.8          4.7          4.7         -4.9          9.5        -10.0         14.2        -16.2
 Type <RETURN> for next page: 
rho_p (g/cm^3)      68.          25.          21.         -32.          52.         -53.          86.         -72.
log(g)_p (cgs)       4.03         0.16         0.17        -0.15         0.28        -0.39         0.33        -0.63
Teq (K)            510.          37.          38.         -41.          71.         -74.          95.         -98.

T0 (BJD-2454900)    72.98483      0.00146      0.00089     -0.00203      0.00150     -0.00418      0.00413     -0.00562
Period (days)        7.071421     0.000021     0.000017    -0.000025     0.000048    -0.000042     0.000081    -0.000057
b                    0.060        0.052        0.023       -0.060        0.152       -0.060        0.204       -0.060
Rp/R*                0.00723      0.00014      0.00015     -0.00015      0.00028     -0.00031      0.00042     -0.00047
K (m/s)             -1.00         0.60         0.55        -0.67         1.19        -1.23         1.82        -1.65
Mp (Mearth)         -2.4          1.5          1.3         -1.7          3.0         -2.9          4.5         -4.4
Rp (Rearth)          0.581        0.022        0.018       -0.027        0.044       -0.045        0.071       -0.064
i (deg)             89.823        0.152        0.177       -0.066        0.177       -0.448        0.177       -0.595
a/R*                19.41         0.21         0.16        -0.27         0.37        -0.53         0.55        -0.82
a (AU)               0.06693      0.00055      0.00056     -0.00057      0.00097     -0.00124      0.00161     -0.00156
Tdepth (ppm)        65.3          2.6          2.5         -2.8          5.4         -5.3          7.5         -8.3
rho_p (g/cm^3)     -72.          44.          43.         -46.          88.         -93.         132.        -141.
log(g)_p (cgs)       3.22         0.41         0.41        -0.43         0.69        -1.10         0.73        -1.66
Teq (K)            802.          58.          55.         -69.         106.        -121.         145.        -173.

T0 (BJD-2454900)    68.8471       0.0027       0.0025      -0.0031       0.0054      -0.0061       0.0093      -0.0083
Period (days)        5.286964     0.000025     0.000023    -0.000027     0.000051    -0.000050     0.000080    -0.000076
b                    0.058        0.060        0.031       -0.058        0.176       -0.058        0.234       -0.058
Rp/R*                0.00580      0.00016      0.00017     -0.00017      0.00033     -0.00033      0.00048     -0.00054
K (m/s)              0.19         0.74         0.70        -0.80         1.57        -1.53         2.09        -2.61
Mp (Mearth)          0.4          1.7          1.5         -1.9          3.5         -3.4          4.7         -5.3
Rp (Rearth)          0.466        0.020        0.016       -0.025        0.040       -0.041        0.063       -0.058
i (deg)             89.79         0.21         0.21        -0.11         0.21        -0.63         0.21        -0.83
 Type <RETURN> for next page: 
a/R*                15.99         0.17         0.13        -0.22         0.30        -0.44         0.45        -0.67
a (AU)               0.05513      0.00045      0.00046     -0.00047      0.00080     -0.00102      0.00132     -0.00129
Tdepth (ppm)        41.6          2.4          2.4         -2.5          4.6         -5.0          7.3         -7.8
rho_p (g/cm^3)      23.          95.          77.        -118.         197.        -201.         292.        -312.
log(g)_p (cgs)       3.78         0.37         0.40        -0.33         0.56        -0.98         0.66        -1.49
Teq (K)            884.          64.          60.         -78.         116.        -136.         165.        -168.

------
KOI104
------

     Parameter       Median       Stdev       +1 sig       -1 sig       +2 sig       -2 sig       +3 sig       -3 sig     
 -------------------------------------------------------------------------------------------------------------------------
M* (Msun)            0.814        0.025        0.022       -0.029        0.047       -0.055        0.075       -0.074
R* (Rsun)            0.757        0.033        0.028       -0.039        0.070       -0.063        0.111       -0.091
Z                    0.0367       0.0028       0.0027      -0.0031       0.0056      -0.0057       0.0080      -0.0098
Teff (K)          4782.          77.          77.         -82.         155.        -161.         232.        -246.
L (Lsun)             0.268        0.038        0.030       -0.048        0.083       -0.074        0.134       -0.102
Age (Gyr)            6.1          4.0          2.5         -6.1          7.0         -6.1          7.8         -6.1
log(g) (cgs)         4.592        0.034        0.036       -0.036        0.057       -0.074        0.071       -0.118
rhostar (g/cm^3)     2.65         0.31         0.30        -0.36         0.58        -0.67         0.85        -0.91

gamma (m/s)        -79.6          5.4          5.2         -6.0         11.5        -12.2         15.2        -20.8
Phot zpt (ppm)       0.5          1.6          1.5         -1.8          3.0         -3.4          5.0         -4.7

T0 (BJD-2454900)    67.99980      0.00013      0.00012     -0.00015      0.00028     -0.00026      0.00040     -0.00040
Period (days)        2.5080578    0.0000005    0.0000004   -0.0000007    0.0000010   -0.0000011    0.0000015   -0.0000016
b                    0.8540       0.0087       0.0092      -0.0089       0.0169      -0.0195       0.0316      -0.0269
Rp/R*                0.04238      0.00037      0.00036     -0.00040      0.00075     -0.00085      0.00135     -0.00132
K (m/s)              6.11         0.78         0.76        -0.81         1.62        -1.61         2.34        -2.36
Mp (Mearth)         10.8          1.4          1.4         -1.5          3.0         -2.9          4.3         -4.4
Rp (Rearth)          3.50         0.15         0.14        -0.17         0.32        -0.31         0.52        -0.44
i (deg)             84.89         0.21         0.24        -0.19         0.37        -0.49         0.50        -0.75
a/R*                 9.88         0.25         0.19        -0.35         0.53        -0.51         0.71        -0.90
a (AU)               0.03374      0.00034      0.00035     -0.00034      0.00061     -0.00082      0.00093     -0.00115
Tdepth (ppm)      1510.3          7.9          8.0         -7.8         16.6        -16.4         25.8        -26.7
rho_p (g/cm^3)       1.45         0.26         0.24        -0.29         0.53        -0.52         0.86        -0.69
log(g)_p (cgs)       2.956        0.066        0.061       -0.075        0.130       -0.139        0.182       -0.218
Teq (K)           1118.          86.          83.         -99.         170.        -167.         228.        -258.

T0 (BJD-2454900)   177.4          3.7          3.5         -4.2          7.4         -8.1         10.1        -13.9
Period (days)      820.7          2.6          2.1         -3.4          5.4         -5.4          8.4         -7.5
e cos w             -0.351        0.017        0.017       -0.018        0.032       -0.043        0.050       -0.062
e sin w              0.150        0.015        0.012       -0.019        0.030       -0.031        0.050       -0.049
K (m/s)            263.          14.          10.         -19.          32.         -29.          55.         -35.
Mp (Mearth)       3239.         202.         180.        -227.         468.        -400.         772.        -517.
a/R*               469.2         12.1          9.3        -16.6         25.4        -24.3         37.4        -44.8
a (AU)               1.602        0.017        0.016       -0.018        0.032       -0.035        0.049       -0.051
Teq (K)            162.          12.          13.         -14.          24.         -25.          34.         -33.

------
KOI108
------

     Parameter       Median       Stdev       +1 sig       -1 sig       +2 sig       -2 sig       +3 sig       -3 sig     
 -------------------------------------------------------------------------------------------------------------------------
M* (Msun)            1.094        0.067        0.067       -0.071        0.133       -0.140        0.204       -0.207
R* (Rsun)            1.436        0.038        0.039       -0.040        0.077       -0.080        0.117       -0.122
Z                    0.0200       0.0020       0.0019      -0.0021       0.0039      -0.0042       0.0059      -0.0062
Teff (K)          5845.          87.          85.         -93.         170.        -184.         261.        -267.
L (Lsun)             1.000        0.098        0.086       -0.121        0.183       -0.228        0.303       -0.301
Age (Gyr)            5.0          4.9          5.0         -5.1          9.8        -10.1         15.0        -15.1
log(g) (cgs)         4.162        0.035        0.036       -0.036        0.070       -0.074        0.106       -0.115
rhostar (g/cm^3)     0.513        0.019        0.020       -0.020        0.036       -0.045        0.059       -0.062

gamma (m/s)          1.1          1.1          1.1         -1.1          2.0         -2.4          3.3         -3.4
Phot zpt (ppm)       0.4          1.4          1.5         -1.5          2.9         -3.0          4.7         -4.5

T0 (BJD-2454900)    75.17618      0.00079      0.00077     -0.00085      0.00162     -0.00165      0.00241     -0.00247
Period (days)       15.965359     0.000021     0.000022    -0.000020     0.000042    -0.000042     0.000064    -0.000069
b                    0.7179       0.0092       0.0091      -0.0098       0.0180      -0.0179       0.0273      -0.0302
Rp/R*                0.02150      0.00012      0.00012     -0.00014      0.00025     -0.00024      0.00035     -0.00043
K (m/s)              3.71         0.93         0.94        -0.97         1.86        -1.97         2.84        -2.98
Mp (Mearth)         18.6          4.7          4.8         -4.8          9.5         -9.6         14.3        -14.9
Rp (Rearth)          3.370        0.092        0.079       -0.114        0.170       -0.215        0.279       -0.294
i (deg)             87.850        0.077        0.079       -0.081        0.153       -0.165        0.219       -0.269
a/R*                19.09         0.24         0.22        -0.26         0.47        -0.50         0.66        -0.74
a (AU)               0.1279       0.0026       0.0024      -0.0029       0.0052      -0.0054       0.0075      -0.0086
Tdepth (ppm)       478.6          4.1          3.9         -4.6          8.0         -9.0         12.1        -15.2
rho_p (g/cm^3)       2.22         0.60         0.57        -0.66         1.25        -1.18         1.94        -1.88
log(g)_p (cgs)       3.13         0.11         0.11        -0.13         0.19        -0.29         0.26        -0.45
Teq (K)            965.          71.          75.         -75.         138.        -137.         181.        -183.
 
T0 (BJD-2454900)   228.3259       0.0014       0.0015      -0.0013       0.0027      -0.0029       0.0037      -0.0045
Period (days)      179.61201      0.00042      0.00042     -0.00045      0.00087     -0.00085      0.00130     -0.00135
b                    0.439        0.024        0.020       -0.029        0.046       -0.053        0.066       -0.084
Rp/R*                0.03277      0.00014      0.00014     -0.00015      0.00026     -0.00033      0.00043     -0.00044
K (m/s)             -2.0          1.3          1.2         -1.4          2.3         -3.0          3.9         -4.0
Mp (Mearth)        -23.          14.          14.         -14.          29.         -31.          43.         -46.
Rp (Rearth)          5.14         0.14         0.14        -0.14         0.28        -0.29         0.43        -0.43
i (deg)             89.738        0.017        0.014       -0.021        0.034       -0.034        0.050       -0.053
a/R*                95.8          1.2          1.2         -1.2          2.4         -2.5          3.3         -3.7
a (AU)               0.642        0.013        0.012       -0.015        0.026       -0.027        0.038       -0.043
Tdepth (ppm)      1248.8          7.6          7.5         -8.1         15.4        -15.4         23.0        -24.2
rho_p (g/cm^3)      -0.76         0.49         0.49        -0.51         0.97        -1.06         1.49        -1.63
log(g)_p (cgs)       2.18         0.45         0.47        -0.42         0.71        -1.24         0.83        -1.78
Teq (K)            431.          32.          32.         -35.          59.         -65.          81.         -81.

------
KOI122
------

     Parameter       Median       Stdev       +1 sig       -1 sig       +2 sig       -2 sig       +3 sig       -3 sig     
 -------------------------------------------------------------------------------------------------------------------------
M* (Msun)            1.084        0.075        0.075       -0.079        0.152       -0.152        0.230       -0.230
R* (Rsun)            1.415        0.038        0.039       -0.039        0.072       -0.088        0.115       -0.121
Z                    0.0200       0.0020       0.0019      -0.0021       0.0038      -0.0042       0.0059      -0.0061
Teff (K)          5699.          73.          73.         -78.         148.        -150.         225.        -223.
L (Lsun)             1.000        0.098        0.096       -0.105        0.195       -0.208        0.300       -0.305
Age (Gyr)            5.000        0.099        0.086       -0.121        0.182       -0.229        0.298       -0.311
log(g) (cgs)         4.171        0.038        0.038       -0.041        0.075       -0.080        0.111       -0.125
rhostar (g/cm^3)     0.540        0.018        0.016       -0.023        0.034       -0.042        0.056       -0.058

gamma (m/s)          0.08         0.55         0.47        -0.68         1.02        -1.27         1.65        -1.73
Phot zpt (ppm)      -0.8          1.4          1.4         -1.6          2.8         -3.1          4.4         -4.5

T0 (BJD-2454900)    64.96841      0.00069      0.00060     -0.00083      0.00131     -0.00157      0.00205     -0.00220
Period (days)       11.523074     0.000012     0.000010    -0.000015     0.000024    -0.000025     0.000036    -0.000038
b                    0.7409       0.0076       0.0066      -0.0092       0.0154      -0.0155       0.0227      -0.0227
Rp/R*                0.02217      0.00012      0.00010     -0.00014      0.00024     -0.00023      0.00035     -0.00037
K (m/s)              3.36         0.64         0.63        -0.68         1.29        -1.32         1.96        -1.97
Mp (Mearth)         15.0          2.9          2.9         -2.9          5.3         -6.7          8.8         -8.8
Rp (Rearth)          3.423        0.094        0.082       -0.117        0.173       -0.221        0.288       -0.287
i (deg)             87.27         0.10         0.10        -0.11         0.20        -0.21         0.28        -0.35
a/R*                15.60         0.18         0.15        -0.21         0.33        -0.39         0.51        -0.54
a (AU)               0.1026       0.0024       0.0024      -0.0025       0.0043      -0.0055       0.0068      -0.0077
Tdepth (ppm)       502.4          4.1          4.1         -4.3          8.1         -8.2         12.3        -12.3
rho_p (g/cm^3)       1.71         0.37         0.36        -0.39         0.76        -0.75         1.22        -1.07
log(g)_p (cgs)       3.020        0.089        0.085       -0.097        0.160       -0.218        0.231       -0.329
Teq (K)           1043.          76.          78.         -84.         143.        -158.         193.        -213.

------
KOI122ef
------

     Parameter       Median       Stdev       +1 sig       -1 sig       +2 sig       -2 sig       +3 sig       -3 sig     
 -------------------------------------------------------------------------------------------------------------------------
M* (Msun)            1.084        0.075        0.075       -0.079        0.152       -0.152        0.230       -0.230
R* (Rsun)            1.415        0.038        0.039       -0.039        0.072       -0.088        0.115       -0.121
Z                    0.0200       0.0020       0.0019      -0.0021       0.0038      -0.0042       0.0059      -0.0061
Teff (K)          5699.          73.          73.         -78.         148.        -150.         225.        -223.
L (Lsun)             1.000        0.098        0.096       -0.105        0.195       -0.208        0.300       -0.305
Age (Gyr)            5.000        0.099        0.086       -0.121        0.182       -0.229        0.298       -0.311
log(g) (cgs)         4.171        0.038        0.038       -0.041        0.075       -0.080        0.111       -0.125
rhostar (g/cm^3)     0.540        0.018        0.016       -0.023        0.034       -0.042        0.056       -0.058

gamma (m/s)          0.18         0.56         0.48        -0.70         1.12        -1.18         1.70        -1.83
Phot zpt (ppm)      -0.9          1.4          1.3         -1.7          2.8         -3.3          4.2         -5.3

T0 (BJD-2454900)    64.96848      0.00073      0.00073     -0.00077      0.00146     -0.00150      0.00203     -0.00280
Period (days)       11.523072     0.000012     0.000012    -0.000013     0.000024    -0.000027     0.000036    -0.000037
b                    0.33         0.21         0.13        -0.33         0.38        -0.33         0.45        -0.33
Rp/R*                0.02032      0.00020      0.00014     -0.00022      0.00055     -0.00030      0.00078     -0.00033
e cos w             -0.14         0.18         0.14        -0.24         0.37        -0.33         0.49        -0.42
e sin w              0.330        0.044        0.051       -0.034        0.058       -0.133        0.066       -0.177
K (m/s)              4.24         0.85         0.72        -1.02         1.79        -1.76         2.73        -2.48
Mp (Mearth)         18.9          3.8          3.2         -4.6          8.0         -7.9         12.2        -11.1
Rp (Rearth)          3.149        0.094        0.078       -0.117        0.191       -0.195        0.306       -0.297
i (deg)             88.77         0.79         1.23        -0.49         1.23        -1.38         1.23        -1.73
a/R*                15.58         0.18         0.18        -0.18         0.35        -0.36         0.49        -0.60
a (AU)               0.1026       0.0024       0.0024      -0.0025       0.0043      -0.0055       0.0069      -0.0077
Tdepth (ppm)       501.1          4.1          4.0         -4.5          7.9         -8.7         12.2        -13.1
rho_p (g/cm^3)       2.78         0.64         0.59        -0.70         1.34        -1.32         2.14        -1.81
log(g)_p (cgs)       3.194        0.094        0.095       -0.100        0.186       -0.206        0.245       -0.377
Teq (K)           1043.          76.          75.         -87.         141.        -159.         191.        -212.

------
KOI123
------

     Parameter       Median       Stdev       +1 sig       -1 sig       +2 sig       -2 sig       +3 sig       -3 sig     
 -------------------------------------------------------------------------------------------------------------------------
M* (Msun)            1.039        0.064        0.064       -0.066        0.130       -0.130        0.195       -0.202
R* (Rsun)            1.323        0.036        0.032       -0.044        0.068       -0.083        0.107       -0.123
Z                    0.0200       0.0020       0.0020      -0.0021       0.0040      -0.0040       0.0060      -0.0061
Teff (K)          5952.          74.          74.         -78.         149.        -155.         222.        -227.
L (Lsun)             1.000        0.098        0.088       -0.114        0.198       -0.203        0.299       -0.308
Age (Gyr)            5.00         0.49         0.48        -0.52         0.97        -1.03         1.45        -1.55
log(g) (cgs)         4.211        0.036        0.035       -0.038        0.072       -0.073        0.106       -0.117
rhostar (g/cm^3)     0.641        0.032        0.028       -0.039        0.059       -0.074        0.096       -0.100

gamma (m/s)         -0.22         0.95         0.94        -1.02         1.90        -2.04         2.82        -3.20
Phot zpt (ppm)      -1.08         1.00         0.96        -1.11         1.92        -2.16         2.78        -3.21

T0 (BJD-2454900)    55.97752      0.00078      0.00079     -0.00081      0.00163     -0.00153      0.00228     -0.00264
Period (days)        6.4816284    0.0000076    0.0000072   -0.0000082    0.0000147   -0.0000171    0.0000221   -0.0000241
